"#","Germplasm","Species","Bloom_Date","Dataset"
"1","Summit","Prunus avium","4/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"2","Summit","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"3","Lambert","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"4","Lambert","Prunus avium","4/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"5","Regina","Prunus avium","4/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"6","Regina","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"7","Ambrunes","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"8","Ambrunes","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"9","Lapins","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"10","Lapins","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"11","Stella","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"12","Sweetheart","Prunus avium","3/31/2010","Sweet_cherry_CRS_phenotyping_2010"
"13","Sweetheart","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"14","Sweetheart","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"15","Van","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"16","Van","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"17","Schneiders","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"18","Schneiders","Prunus avium","4/25/2011","Sweet_cherry_CRS_phenotyping_2011"
"19","Bing","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"20","Bing","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"21","Rainier","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"22","Rainier","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"23","Rainier","Prunus avium","4/2/2010","Sweet_cherry_CRS_phenotyping_2010"
"24","Benton","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"25","Benton","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"26","Cashmere","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"27","Cashmere","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"28","Chelan","Prunus avium","3/30/2010","Sweet_cherry_CRS_phenotyping_2010"
"29","Chelan","Prunus avium","4/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"30","Chelan","Prunus avium","4/13/2012","Sweet_cherry_CRS_phenotyping_2012"
"31","Chinook","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"32","Cowiche","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"33","Cowiche","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"34","Gil Peck","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
