"#","Germplasm","Species","Bloom_Time","Dataset"
"1","Summit","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","203.44","Sweet_cherry_CRS_phenotyping_2010"
"3","Lambert","Prunus avium","168.58","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"5","Regina","Prunus avium","210.14","Sweet_cherry_CRS_phenotyping_2010"
"6","Regina","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"7","Ambrunes","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"8","Ambrunes","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"9","Lapins","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"10","Lapins","Prunus avium","191.94","Sweet_cherry_CRS_phenotyping_2010"
"11","Stella","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"12","Sweetheart","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"13","Sweetheart","Prunus avium","170.75","Sweet_cherry_CRS_phenotyping_2012"
"14","Sweetheart","Prunus avium","174.14","Sweet_cherry_CRS_phenotyping_2010"
"15","Van","Prunus avium","161.72","Sweet_cherry_CRS_phenotyping_2011"
"16","Van","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"17","Schneiders","Prunus avium","180.28","Sweet_cherry_CRS_phenotyping_2011"
"18","Schneiders","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"19","Bing","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"20","Bing","Prunus avium","170.75","Sweet_cherry_CRS_phenotyping_2012"
"21","Rainier","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"22","Rainier","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"23","Rainier","Prunus avium","176.75","Sweet_cherry_CRS_phenotyping_2010"
"24","Benton","Prunus avium","161.72","Sweet_cherry_CRS_phenotyping_2011"
"25","Benton","Prunus avium","181.58","Sweet_cherry_CRS_phenotyping_2012"
"26","Cashmere","Prunus avium","167.06","Sweet_cherry_CRS_phenotyping_2011"
"27","Cashmere","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"28","Chelan","Prunus avium","146.86","Sweet_cherry_CRS_phenotyping_2011"
"29","Chelan","Prunus avium","152.22","Sweet_cherry_CRS_phenotyping_2012"
"30","Chelan","Prunus avium","174.14","Sweet_cherry_CRS_phenotyping_2010"
"31","Chinook","Prunus avium","158.97","Sweet_cherry_CRS_phenotyping_2012"
"32","Cowiche","Prunus avium","191.94","Sweet_cherry_CRS_phenotyping_2010"
"33","Cowiche","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"34","Gil Peck","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"35","Glacier","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"36","Glacier","Prunus avium","191.94","Sweet_cherry_CRS_phenotyping_2010"
"37","Glacier","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"38","Kiona","Prunus avium","168.58","Sweet_cherry_CRS_phenotyping_2011"
"39","Kiona","Prunus avium","203.44","Sweet_cherry_CRS_phenotyping_2010"
"40","Kiona","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"41","NY 54","Prunus avium","161.72","Sweet_cherry_CRS_phenotyping_2011"
"42","NY 54","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
