"#","Germplasm","Species","Bulked_Fruit_Firmness","Dataset"
"1","Summit","Prunus avium","200.3","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","206.4","Sweet_cherry_CRS_phenotyping_2012"
"3","Lambert","Prunus avium","237.6","Sweet_cherry_CRS_phenotyping_2012"
"4","Lambert","Prunus avium","287.4","Sweet_cherry_CRS_phenotyping_2011"
"5","Regina","Prunus avium","216.5","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","315","Sweet_cherry_CRS_phenotyping_2011"
"7","Ambrunes","Prunus avium","240.1","Sweet_cherry_CRS_phenotyping_2012"
"8","Ambrunes","Prunus avium","340","Sweet_cherry_CRS_phenotyping_2011"
"9","Lapins","Prunus avium","255.7","Sweet_cherry_CRS_phenotyping_2012"
"10","Lapins","Prunus avium","333.6","Sweet_cherry_CRS_phenotyping_2011"
"11","Stella","Prunus avium","198.3","Sweet_cherry_CRS_phenotyping_2012"
"12","Stella","Prunus avium","310.6","Sweet_cherry_CRS_phenotyping_2011"
"13","Sweetheart","Prunus avium","247.4","Sweet_cherry_CRS_phenotyping_2012"
"14","Sweetheart","Prunus avium","335.5","Sweet_cherry_CRS_phenotyping_2011"
"15","Van","Prunus avium","291.4","Sweet_cherry_CRS_phenotyping_2012"
"16","Van","Prunus avium","320.2","Sweet_cherry_CRS_phenotyping_2011"
"17","Schneiders","Prunus avium","211.2","Sweet_cherry_CRS_phenotyping_2012"
"18","Schneiders","Prunus avium","313.7","Sweet_cherry_CRS_phenotyping_2011"
"19","Bing","Prunus avium","239.4","Sweet_cherry_CRS_phenotyping_2012"
"20","Bing","Prunus avium","305.5","Sweet_cherry_CRS_phenotyping_2011"
"21","Rainier","Prunus avium","193.3","Sweet_cherry_CRS_phenotyping_2012"
"22","Rainier","Prunus avium","280","Sweet_cherry_CRS_phenotyping_2011"
"23","Benton","Prunus avium","233.9","Sweet_cherry_CRS_phenotyping_2012"
"24","Benton","Prunus avium","253.7","Sweet_cherry_CRS_phenotyping_2011"
"25","Cashmere","Prunus avium","257.8","Sweet_cherry_CRS_phenotyping_2012"
"26","Cashmere","Prunus avium","263.8","Sweet_cherry_CRS_phenotyping_2011"
"27","Chelan","Prunus avium","252.4","Sweet_cherry_CRS_phenotyping_2012"
"28","Chelan","Prunus avium","293.1","Sweet_cherry_CRS_phenotyping_2011"
"29","Chinook","Prunus avium","206.4","Sweet_cherry_CRS_phenotyping_2012"
"30","Chinook","Prunus avium","215.6","Sweet_cherry_CRS_phenotyping_2011"
"31","Cowiche","Prunus avium","200.9","Sweet_cherry_CRS_phenotyping_2012"
"32","Cowiche","Prunus avium","277.6","Sweet_cherry_CRS_phenotyping_2011"
