"#","Germplasm","Species","Bulked_Fruit_SSC","Dataset"
"1","Summit","Prunus avium","17.4","Sweet_cherry_CRS_phenotyping_2010"
"2","Summit","Prunus avium","19.1","Sweet_cherry_CRS_phenotyping_2011"
"3","Lambert","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2011"
"4","Regina","Prunus avium","17.4","Sweet_cherry_CRS_phenotyping_2011"
"5","Regina","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2010"
"6","Ambrunes","Prunus avium","18","Sweet_cherry_CRS_phenotyping_2010"
"7","Ambrunes","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2011"
"8","Lapins","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2011"
"9","Lapins","Prunus avium","18.7","Sweet_cherry_CRS_phenotyping_2010"
"10","Stella","Prunus avium","16.3","Sweet_cherry_CRS_phenotyping_2011"
"11","Sweetheart","Prunus avium","17.7","Sweet_cherry_CRS_phenotyping_2010"
"12","Sweetheart","Prunus avium","18.4","Sweet_cherry_CRS_phenotyping_2011"
"13","Van","Prunus avium","16.4","Sweet_cherry_CRS_phenotyping_2011"
"14","Schneiders","Prunus avium","16.7","Sweet_cherry_CRS_phenotyping_2011"
"15","Bing","Prunus avium","23.9","Sweet_cherry_CRS_phenotyping_2011"
"16","Rainier","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2011"
"17","Rainier","Prunus avium","20.6","Sweet_cherry_CRS_phenotyping_2010"
"18","Cashmere","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2011"
"19","Cashmere","Prunus avium","26.9","Sweet_cherry_CRS_phenotyping_2010"
"20","Chelan","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"21","Chelan","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2010"
"22","Chinook","Prunus avium","15.9","Sweet_cherry_CRS_phenotyping_2011"
"23","Cowiche","Prunus avium","17.7","Sweet_cherry_CRS_phenotyping_2011"
"24","Cowiche","Prunus avium","22.9","Sweet_cherry_CRS_phenotyping_2010"
"25","Glacier","Prunus avium","17.3","Sweet_cherry_CRS_phenotyping_2011"
"26","Glacier","Prunus avium","21.1","Sweet_cherry_CRS_phenotyping_2010"
"27","Kiona","Prunus avium","20.3","Sweet_cherry_CRS_phenotyping_2010"
"28","Kiona","Prunus avium","20.9","Sweet_cherry_CRS_phenotyping_2011"
