"#","Germplasm","Species","Fruit_Shape","Dataset"
"1","Summit","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"3","Lambert","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"5","Regina","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"6","Regina","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"7","Ambrunes","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"8","Ambrunes","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"9","Lapins","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"10","Lapins","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"11","Stella","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"12","Stella","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"13","Sweetheart","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"14","Sweetheart","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"15","Van","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"16","Van","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"17","Schneiders","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"18","Schneiders","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"19","Bing","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"20","Bing","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"21","Rainier","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"22","Rainier","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"23","Benton","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"24","Benton","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"25","Cashmere","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"26","Cashmere","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"27","Chelan","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"28","Chelan","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"29","Chinook","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"30","Chinook","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"31","Cowiche","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"32","Cowiche","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"33","Gil Peck","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"34","Glacier","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"35","Glacier","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"36","Kiona","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"37","Kiona","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"38","NY 54","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"39","NY 54","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"40","PMR-1","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"41","PMR-1","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"42","Schmidt","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"43","Schmidt","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
