"#","Germplasm","Species","Fruit_Wd2","Dataset"
"1","Summit","Prunus avium","28.03","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","28.13","Sweet_cherry_CRS_phenotyping_2011"
"3","Summit","Prunus avium","30.01","Sweet_cherry_CRS_phenotyping_2010"
"4","Lambert","Prunus avium","23.12","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","25.42","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","26.49","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","28","Sweet_cherry_CRS_phenotyping_2010"
"8","Regina","Prunus avium","29.93","Sweet_cherry_CRS_phenotyping_2012"
"9","Ambrunes","Prunus avium","22.33","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","24.65","Sweet_cherry_CRS_phenotyping_2010"
"11","Ambrunes","Prunus avium","25.25","Sweet_cherry_CRS_phenotyping_2012"
"12","Lapins","Prunus avium","25.03","Sweet_cherry_CRS_phenotyping_2011"
"13","Lapins","Prunus avium","28.33","Sweet_cherry_CRS_phenotyping_2012"
"14","Lapins","Prunus avium","29.61","Sweet_cherry_CRS_phenotyping_2010"
"15","Stella","Prunus avium","24.3","Sweet_cherry_CRS_phenotyping_2011"
"16","Stella","Prunus avium","27.37","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","25.27","Sweet_cherry_CRS_phenotyping_2010"
"18","Sweetheart","Prunus avium","26.45","Sweet_cherry_CRS_phenotyping_2011"
"19","Sweetheart","Prunus avium","27.43","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","23.86","Sweet_cherry_CRS_phenotyping_2011"
"21","Van","Prunus avium","26.35","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","22.8","Sweet_cherry_CRS_phenotyping_2011"
"23","Schneiders","Prunus avium","29.44","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","25.03","Sweet_cherry_CRS_phenotyping_2011"
"25","Bing","Prunus avium","25.42","Sweet_cherry_CRS_phenotyping_2012"
"26","Rainier","Prunus avium","26.29","Sweet_cherry_CRS_phenotyping_2011"
"27","Rainier","Prunus avium","28.93","Sweet_cherry_CRS_phenotyping_2010"
"28","Rainier","Prunus avium","29.98","Sweet_cherry_CRS_phenotyping_2012"
"29","Benton","Prunus avium","27.32","Sweet_cherry_CRS_phenotyping_2011"
"30","Benton","Prunus avium","29.93","Sweet_cherry_CRS_phenotyping_2012"
"31","Cashmere","Prunus avium","26.71","Sweet_cherry_CRS_phenotyping_2010"
"32","Cashmere","Prunus avium","27.18","Sweet_cherry_CRS_phenotyping_2011"
"33","Cashmere","Prunus avium","27.49","Sweet_cherry_CRS_phenotyping_2012"
