"#","Germplasm","Species","Fruit_Wt","Dataset"
"1","Summit","Prunus avium","10.74","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","13.65","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","14.63","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","8.83","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","11.27","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","12.45","Sweet_cherry_CRS_phenotyping_2010"
"8","Regina","Prunus avium","13.28","Sweet_cherry_CRS_phenotyping_2012"
"9","Ambrunes","Prunus avium","7.39","Sweet_cherry_CRS_phenotyping_2012"
"10","Ambrunes","Prunus avium","7.6","Sweet_cherry_CRS_phenotyping_2011"
"11","Ambrunes","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","11.47","Sweet_cherry_CRS_phenotyping_2012"
"13","Lapins","Prunus avium","12.6","Sweet_cherry_CRS_phenotyping_2011"
"14","Lapins","Prunus avium","12.99","Sweet_cherry_CRS_phenotyping_2010"
"15","Stella","Prunus avium","9.48","Sweet_cherry_CRS_phenotyping_2011"
"16","Stella","Prunus avium","10.8","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2010"
"18","Sweetheart","Prunus avium","11.25","Sweet_cherry_CRS_phenotyping_2012"
"19","Sweetheart","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2011"
"20","Van","Prunus avium","9","Sweet_cherry_CRS_phenotyping_2012"
"21","Van","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2011"
"22","Schneiders","Prunus avium","5.5","Sweet_cherry_CRS_phenotyping_2011"
"23","Schneiders","Prunus avium","11.71","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2012"
"25","Bing","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2011"
"26","Rainier","Prunus avium","12.1","Sweet_cherry_CRS_phenotyping_2010"
"27","Rainier","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2011"
"28","Rainier","Prunus avium","12.68","Sweet_cherry_CRS_phenotyping_2012"
"29","Benton","Prunus avium","11.45","Sweet_cherry_CRS_phenotyping_2011"
"30","Benton","Prunus avium","11.74","Sweet_cherry_CRS_phenotyping_2012"
"31","Cashmere","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2010"
"32","Cashmere","Prunus avium","9.6","Sweet_cherry_CRS_phenotyping_2011"
"33","Cashmere","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2012"
"34","Chelan","Prunus avium","8.62","Sweet_cherry_CRS_phenotyping_2012"
"35","Chelan","Prunus avium","10.24","Sweet_cherry_CRS_phenotyping_2010"
"36","Chelan","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2011"
"37","Chinook","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2011"
"38","Chinook","Prunus avium","9.77","Sweet_cherry_CRS_phenotyping_2012"
