"#","Germplasm","Species","Harvest_Date","Dataset"
"1","Summit","Prunus avium","6/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","6/24/2010","Sweet_cherry_CRS_phenotyping_2010"
"3","Lambert","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"4","Lambert","Prunus avium","7/3/2011","Sweet_cherry_CRS_phenotyping_2011"
"5","Regina","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"6","Regina","Prunus avium","7/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"8","Ambrunes","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"9","Ambrunes","Prunus avium","7/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","7/24/2010","Sweet_cherry_CRS_phenotyping_2010"
"11","Lapins","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"12","Lapins","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"13","Lapins","Prunus avium","7/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"14","Stella","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"16","Sweetheart","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"18","Sweetheart","Prunus avium","7/19/2010","Sweet_cherry_CRS_phenotyping_2010"
"19","Van","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"20","Schneiders","Prunus avium","7/4/2012","Sweet_cherry_CRS_phenotyping_2012"
"21","Bing","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"22","Bing","Prunus avium","6/29/2012","Sweet_cherry_CRS_phenotyping_2012"
"23","Rainier","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"24","Rainier","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"25","Rainier","Prunus avium","7/6/2010","Sweet_cherry_CRS_phenotyping_2010"
"26","Benton","Prunus avium","6/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"27","Benton","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"28","Cashmere","Prunus avium","6/24/2011","Sweet_cherry_CRS_phenotyping_2011"
"29","Cashmere","Prunus avium","6/26/2010","Sweet_cherry_CRS_phenotyping_2010"
"30","Cashmere","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"31","Chelan","Prunus avium","6/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"32","Chelan","Prunus avium","6/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"33","Chelan","Prunus avium","6/18/2010","Sweet_cherry_CRS_phenotyping_2010"
"34","Chinook","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"35","Chinook","Prunus avium","6/25/2011","Sweet_cherry_CRS_phenotyping_2011"
"36","Cowiche","Prunus avium","7/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"37","Cowiche","Prunus avium","7/7/2012","Sweet_cherry_CRS_phenotyping_2012"
"38","Cowiche","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"39","Gil Peck","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"40","Glacier","Prunus avium","6/22/2010","Sweet_cherry_CRS_phenotyping_2010"
"41","Glacier","Prunus avium","6/22/2011","Sweet_cherry_CRS_phenotyping_2011"
