"#","Germplasm","Species","Perc_Cracking","Dataset"
"1","Summit","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"2","Lambert","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"3","Regina","Prunus avium","4.55","Sweet_cherry_CRS_phenotyping_2011"
"4","Regina","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"5","Ambrunes","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"6","Lapins","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"7","Lapins","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2011"
"8","Stella","Prunus avium","6.25","Sweet_cherry_CRS_phenotyping_2011"
"9","Sweetheart","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"10","Schneiders","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"11","Bing","Prunus avium","11.76","Sweet_cherry_CRS_phenotyping_2011"
"12","Rainier","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"13","Cashmere","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"14","Cashmere","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"15","Chelan","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"16","Chelan","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"17","Cowiche","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"18","Glacier","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"19","Glacier","Prunus avium","21.74","Sweet_cherry_CRS_phenotyping_2010"
"20","Kiona","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"21","PMR-1","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"22","Selah","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"23","Tieton","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"24","Kordia","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"25","FR1T068","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2010"
"26","FR12T078","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"27","FR8T012","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"28","FR12T081","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"29","FR1T036","Prunus avium","48","Sweet_cherry_CRS_phenotyping_2010"
"30","FR1T074","Prunus avium","33.33","Sweet_cherry_CRS_phenotyping_2011"
"31","FR1T074","Prunus avium","55.56","Sweet_cherry_CRS_phenotyping_2010"
"32","FR2T030","Prunus avium","14.29","Sweet_cherry_CRS_phenotyping_2011"
"33","FR2T030","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"34","FR3T070","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"35","FR3T070","Prunus avium","60","Sweet_cherry_CRS_phenotyping_2010"
"36","FR1T035","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"37","FR1T035","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"38","FR1T066","Prunus avium","17.24","Sweet_cherry_CRS_phenotyping_2010"
