"#","Germplasm","Species","Perc_Pitting","Dataset"
"1","Summit","Prunus avium","13.33","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"3","Regina","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"4","Regina","Prunus avium","9.09","Sweet_cherry_CRS_phenotyping_2011"
"5","Ambrunes","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"6","Ambrunes","Prunus avium","4.76","Sweet_cherry_CRS_phenotyping_2011"
"7","Lapins","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"8","Lapins","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2010"
"9","Sweetheart","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"10","Rainier","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"11","Cashmere","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"12","Cashmere","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"13","Chelan","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"14","Cowiche","Prunus avium","4.17","Sweet_cherry_CRS_phenotyping_2011"
"15","Cowiche","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2010"
"16","Glacier","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"17","Kiona","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"18","Kiona","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"19","PMR-1","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"20","Schmidt","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"21","Selah","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"22","Tieton","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"23","Windsor","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"24","Kordia","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"25","FR1T068","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"26","FR12T081","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"27","FR1T036","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"28","FR1T074","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"29","FR2T030","Prunus avium","14.29","Sweet_cherry_CRS_phenotyping_2011"
"30","FR3T070","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"31","FR3T070","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"32","FR1T035","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"33","FR1T066","Prunus avium","3.45","Sweet_cherry_CRS_phenotyping_2010"
"34","FR1T069","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"35","FR1T069","Prunus avium","7.14","Sweet_cherry_CRS_phenotyping_2011"
