"#","Germplasm","Species","Pit_Lh","Dataset"
"1","Summit","Prunus avium","11.64","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","12.81","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","12.87","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","11.52","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","11.53","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","12.4","Sweet_cherry_CRS_phenotyping_2012"
"7","Regina","Prunus avium","12.66","Sweet_cherry_CRS_phenotyping_2011"
"8","Regina","Prunus avium","13.94","Sweet_cherry_CRS_phenotyping_2010"
"9","Ambrunes","Prunus avium","12.22","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","12.62","Sweet_cherry_CRS_phenotyping_2010"
"11","Lapins","Prunus avium","11.27","Sweet_cherry_CRS_phenotyping_2012"
"12","Lapins","Prunus avium","11.52","Sweet_cherry_CRS_phenotyping_2011"
"13","Lapins","Prunus avium","13.16","Sweet_cherry_CRS_phenotyping_2010"
"14","Stella","Prunus avium","11.38","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","12.24","Sweet_cherry_CRS_phenotyping_2011"
"16","Sweetheart","Prunus avium","11.29","Sweet_cherry_CRS_phenotyping_2010"
"17","Sweetheart","Prunus avium","11.76","Sweet_cherry_CRS_phenotyping_2012"
"18","Sweetheart","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2011"
"19","Van","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","10.61","Sweet_cherry_CRS_phenotyping_2011"
"21","Schneiders","Prunus avium","10.79","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","11.39","Sweet_cherry_CRS_phenotyping_2011"
"23","Bing","Prunus avium","11.22","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","11.81","Sweet_cherry_CRS_phenotyping_2011"
"25","Rainier","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2011"
"26","Rainier","Prunus avium","10.63","Sweet_cherry_CRS_phenotyping_2012"
"27","Rainier","Prunus avium","11.31","Sweet_cherry_CRS_phenotyping_2010"
"28","Benton","Prunus avium","12.25","Sweet_cherry_CRS_phenotyping_2011"
"29","Benton","Prunus avium","12.27","Sweet_cherry_CRS_phenotyping_2012"
"30","Cashmere","Prunus avium","11.02","Sweet_cherry_CRS_phenotyping_2012"
"31","Cashmere","Prunus avium","11.48","Sweet_cherry_CRS_phenotyping_2011"
"32","Cashmere","Prunus avium","12.36","Sweet_cherry_CRS_phenotyping_2010"
"33","Chelan","Prunus avium","11.83","Sweet_cherry_CRS_phenotyping_2012"
"34","Chelan","Prunus avium","12.77","Sweet_cherry_CRS_phenotyping_2010"
"35","Chelan","Prunus avium","13.26","Sweet_cherry_CRS_phenotyping_2011"
"36","Chinook","Prunus avium","11.12","Sweet_cherry_CRS_phenotyping_2012"
"37","Chinook","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2011"
"38","Cowiche","Prunus avium","11.79","Sweet_cherry_CRS_phenotyping_2011"
"39","Cowiche","Prunus avium","12.3","Sweet_cherry_CRS_phenotyping_2010"
"40","Cowiche","Prunus avium","12.42","Sweet_cherry_CRS_phenotyping_2012"
"41","Gil Peck","Prunus avium","10.34","Sweet_cherry_CRS_phenotyping_2012"
"42","Glacier","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","12.72","Sweet_cherry_CRS_phenotyping_2011"
"44","Glacier","Prunus avium","13.49","Sweet_cherry_CRS_phenotyping_2010"
"45","Kiona","Prunus avium","12.19","Sweet_cherry_CRS_phenotyping_2012"
"46","Kiona","Prunus avium","12.55","Sweet_cherry_CRS_phenotyping_2010"
"47","Kiona","Prunus avium","12.9","Sweet_cherry_CRS_phenotyping_2011"
"48","NY 54","Prunus avium","8.93","Sweet_cherry_CRS_phenotyping_2012"
"49","NY 54","Prunus avium","9.41","Sweet_cherry_CRS_phenotyping_2011"
"50","PMR-1","Prunus avium","12.59","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","13.02","Sweet_cherry_CRS_phenotyping_2010"
"52","PMR-1","Prunus avium","13.21","Sweet_cherry_CRS_phenotyping_2011"
"53","Schmidt","Prunus avium","11.4","Sweet_cherry_CRS_phenotyping_2011"
"54","Schmidt","Prunus avium","11.44","Sweet_cherry_CRS_phenotyping_2012"
"55","Selah","Prunus avium","10.73","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","11.57","Sweet_cherry_CRS_phenotyping_2011"
"57","Tieton","Prunus avium","11.98","Sweet_cherry_CRS_phenotyping_2012"
"58","Tieton","Prunus avium","13.47","Sweet_cherry_CRS_phenotyping_2011"
"59","Tieton","Prunus avium","13.84","Sweet_cherry_CRS_phenotyping_2010"
"60","Vic","Prunus avium","11.3","Sweet_cherry_CRS_phenotyping_2012"
"61","Vic","Prunus avium","12.14","Sweet_cherry_CRS_phenotyping_2011"
"62","Windsor","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2011"
"63","Windsor","Prunus avium","10.35","Sweet_cherry_CRS_phenotyping_2012"
"64","Kordia","Prunus avium","13.54","Sweet_cherry_CRS_phenotyping_2012"
"65","Kordia","Prunus avium","13.57","Sweet_cherry_CRS_phenotyping_2011"
"66","FR1T068","Prunus avium","12.1","Sweet_cherry_CRS_phenotyping_2010"
"67","FR1T068","Prunus avium","12.14","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","12.15","Sweet_cherry_CRS_phenotyping_2011"
"69","FR12T078","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2011"
"70","FR12T078","Prunus avium","11.66","Sweet_cherry_CRS_phenotyping_2012"
"71","FR8T012","Prunus avium","10.76","Sweet_cherry_CRS_phenotyping_2011"
"72","FR8T012","Prunus avium","11.06","Sweet_cherry_CRS_phenotyping_2012"
"73","FR12T081","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2011"
"74","FR12T081","Prunus avium","12.23","Sweet_cherry_CRS_phenotyping_2012"
"75","FR28T002","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2012"
