"#","Germplasm","Species","Pit_Wd1","Dataset"
"1","Summit","Prunus avium","9.35","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","9.53","Sweet_cherry_CRS_phenotyping_2012"
"3","Summit","Prunus avium","10.49","Sweet_cherry_CRS_phenotyping_2010"
"4","Lambert","Prunus avium","8.25","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","9.51","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","10.98","Sweet_cherry_CRS_phenotyping_2012"
"8","Regina","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2010"
"9","Ambrunes","Prunus avium","9.32","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2012"
"11","Ambrunes","Prunus avium","11.53","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","9.41","Sweet_cherry_CRS_phenotyping_2011"
"13","Lapins","Prunus avium","10.48","Sweet_cherry_CRS_phenotyping_2012"
"14","Lapins","Prunus avium","12.18","Sweet_cherry_CRS_phenotyping_2010"
"15","Stella","Prunus avium","8.64","Sweet_cherry_CRS_phenotyping_2011"
"16","Stella","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","9.54","Sweet_cherry_CRS_phenotyping_2011"
"18","Sweetheart","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2010"
"19","Sweetheart","Prunus avium","10.47","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2011"
"21","Van","Prunus avium","9.63","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","8.74","Sweet_cherry_CRS_phenotyping_2011"
"23","Schneiders","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2011"
"25","Bing","Prunus avium","9.59","Sweet_cherry_CRS_phenotyping_2012"
"26","Rainier","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2011"
"27","Rainier","Prunus avium","10.41","Sweet_cherry_CRS_phenotyping_2010"
"28","Rainier","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2012"
"29","Benton","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2011"
"30","Benton","Prunus avium","10.09","Sweet_cherry_CRS_phenotyping_2012"
"31","Cashmere","Prunus avium","9.65","Sweet_cherry_CRS_phenotyping_2011"
"32","Cashmere","Prunus avium","9.84","Sweet_cherry_CRS_phenotyping_2012"
"33","Cashmere","Prunus avium","10.64","Sweet_cherry_CRS_phenotyping_2010"
"34","Chelan","Prunus avium","9.9","Sweet_cherry_CRS_phenotyping_2012"
"35","Chelan","Prunus avium","10.21","Sweet_cherry_CRS_phenotyping_2011"
"36","Chelan","Prunus avium","10.53","Sweet_cherry_CRS_phenotyping_2010"
"37","Chinook","Prunus avium","8.28","Sweet_cherry_CRS_phenotyping_2011"
"38","Chinook","Prunus avium","9.63","Sweet_cherry_CRS_phenotyping_2012"
"39","Cowiche","Prunus avium","10.49","Sweet_cherry_CRS_phenotyping_2011"
"40","Cowiche","Prunus avium","11.37","Sweet_cherry_CRS_phenotyping_2010"
"41","Cowiche","Prunus avium","11.7","Sweet_cherry_CRS_phenotyping_2012"
"42","Gil Peck","Prunus avium","9.35","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","10.05","Sweet_cherry_CRS_phenotyping_2011"
"44","Glacier","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2010"
"45","Glacier","Prunus avium","10.6","Sweet_cherry_CRS_phenotyping_2012"
"46","Kiona","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2011"
"47","Kiona","Prunus avium","10.11","Sweet_cherry_CRS_phenotyping_2012"
"48","Kiona","Prunus avium","10.38","Sweet_cherry_CRS_phenotyping_2010"
"49","NY 54","Prunus avium","6.82","Sweet_cherry_CRS_phenotyping_2011"
"50","NY 54","Prunus avium","7.32","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","10.01","Sweet_cherry_CRS_phenotyping_2011"
"52","PMR-1","Prunus avium","10.95","Sweet_cherry_CRS_phenotyping_2012"
"53","PMR-1","Prunus avium","11.38","Sweet_cherry_CRS_phenotyping_2010"
"54","Schmidt","Prunus avium","8.98","Sweet_cherry_CRS_phenotyping_2011"
"55","Schmidt","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2011"
"57","Selah","Prunus avium","10.03","Sweet_cherry_CRS_phenotyping_2012"
"58","Tieton","Prunus avium","10.11","Sweet_cherry_CRS_phenotyping_2011"
"59","Tieton","Prunus avium","10.33","Sweet_cherry_CRS_phenotyping_2010"
"60","Tieton","Prunus avium","10.61","Sweet_cherry_CRS_phenotyping_2012"
"61","Vic","Prunus avium","8.29","Sweet_cherry_CRS_phenotyping_2011"
"62","Vic","Prunus avium","9.71","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","9.16","Sweet_cherry_CRS_phenotyping_2011"
"64","Windsor","Prunus avium","9.5","Sweet_cherry_CRS_phenotyping_2012"
"65","Kordia","Prunus avium","9.02","Sweet_cherry_CRS_phenotyping_2011"
"66","Kordia","Prunus avium","9.59","Sweet_cherry_CRS_phenotyping_2012"
"67","FR1T068","Prunus avium","8.5","Sweet_cherry_CRS_phenotyping_2011"
"68","FR1T068","Prunus avium","9.81","Sweet_cherry_CRS_phenotyping_2010"
"69","FR1T068","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"70","FR12T078","Prunus avium","8.5","Sweet_cherry_CRS_phenotyping_2011"
"71","FR12T078","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2012"
"72","FR8T012","Prunus avium","7.93","Sweet_cherry_CRS_phenotyping_2011"
"73","FR8T012","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2012"
"74","FR12T081","Prunus avium","9.79","Sweet_cherry_CRS_phenotyping_2011"
"75","FR12T081","Prunus avium","10.75","Sweet_cherry_CRS_phenotyping_2012"
"76","FR28T002","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2012"
"77","FR1T036","Prunus avium","9.75","Sweet_cherry_CRS_phenotyping_2011"
