"#","Germplasm","Species","Pit_Wt","Dataset"
"1","Summit","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"5","Lambert","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"6","Regina","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"7","Regina","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"8","Regina","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2010"
"9","Ambrunes","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"10","Ambrunes","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2011"
"11","Ambrunes","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"13","Lapins","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2011"
"14","Stella","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"16","Sweetheart","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2010"
"18","Sweetheart","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"19","Van","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"21","Schneiders","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"23","Bing","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"25","Rainier","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"26","Rainier","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"27","Rainier","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
"28","Benton","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2011"
"29","Benton","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2012"
"30","Cashmere","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"31","Cashmere","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"32","Cashmere","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2010"
"33","Chelan","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"34","Chelan","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"35","Chelan","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"36","Chinook","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"37","Chinook","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"38","Cowiche","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"39","Cowiche","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2010"
"40","Cowiche","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2011"
"41","Gil Peck","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"42","Glacier","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2010"
"44","Glacier","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2011"
"45","Kiona","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2010"
"46","Kiona","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"47","Kiona","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"48","NY 54","Prunus avium","0.22","Sweet_cherry_CRS_phenotyping_2012"
"49","NY 54","Prunus avium","0.27","Sweet_cherry_CRS_phenotyping_2011"
"50","PMR-1","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2010"
"52","PMR-1","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2011"
"53","Schmidt","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2011"
"54","Schmidt","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"55","Selah","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"57","Tieton","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"58","Tieton","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"59","Tieton","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2011"
"60","Vic","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"61","Vic","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"62","Windsor","Prunus avium","0.38","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2011"
"64","Kordia","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"65","Kordia","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"66","FR1T068","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2010"
"67","FR1T068","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2011"
"69","FR12T078","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"70","FR12T078","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2012"
"71","FR8T012","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"72","FR8T012","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"73","FR12T081","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"74","FR12T081","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"75","FR28T002","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"76","FR1T036","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"77","FR1T036","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T036","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"79","FR1T074","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T074","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2012"
"81","FR1T074","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"82","FR2T063","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"83","FR2T030","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"84","FR2T030","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2010"
"85","FR2T030","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"86","FR14T012","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2012"
"87","FR3T070","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2010"
