"#","Germplasm","Species","Pull_Force","Dataset"
"1","Summit","Prunus avium","800.5","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","833.1","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","947.3","Sweet_cherry_CRS_phenotyping_2012"
"4","Lambert","Prunus avium","615.9","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","921.8","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","1182.9","Sweet_cherry_CRS_phenotyping_2012"
"7","Regina","Prunus avium","1281.8","Sweet_cherry_CRS_phenotyping_2010"
"8","Regina","Prunus avium","1386.8","Sweet_cherry_CRS_phenotyping_2011"
"9","Ambrunes","Prunus avium","612.8","Sweet_cherry_CRS_phenotyping_2012"
"10","Ambrunes","Prunus avium","666.9","Sweet_cherry_CRS_phenotyping_2011"
"11","Ambrunes","Prunus avium","699.5","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","683.2","Sweet_cherry_CRS_phenotyping_2011"
"13","Lapins","Prunus avium","702.6","Sweet_cherry_CRS_phenotyping_2010"
"14","Lapins","Prunus avium","795.4","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","574.1","Sweet_cherry_CRS_phenotyping_2012"
"16","Stella","Prunus avium","888.2","Sweet_cherry_CRS_phenotyping_2011"
"17","Sweetheart","Prunus avium","828","Sweet_cherry_CRS_phenotyping_2012"
"18","Sweetheart","Prunus avium","854.5","Sweet_cherry_CRS_phenotyping_2010"
"19","Sweetheart","Prunus avium","927.9","Sweet_cherry_CRS_phenotyping_2011"
"20","Van","Prunus avium","623","Sweet_cherry_CRS_phenotyping_2012"
"21","Van","Prunus avium","915.7","Sweet_cherry_CRS_phenotyping_2011"
"22","Schneiders","Prunus avium","616.9","Sweet_cherry_CRS_phenotyping_2012"
"23","Schneiders","Prunus avium","671","Sweet_cherry_CRS_phenotyping_2011"
"24","Bing","Prunus avium","926.9","Sweet_cherry_CRS_phenotyping_2012"
"25","Bing","Prunus avium","941.2","Sweet_cherry_CRS_phenotyping_2011"
"26","Rainier","Prunus avium","979.9","Sweet_cherry_CRS_phenotyping_2011"
"27","Rainier","Prunus avium","1038.1","Sweet_cherry_CRS_phenotyping_2010"
"28","Rainier","Prunus avium","1049.3","Sweet_cherry_CRS_phenotyping_2012"
"29","Benton","Prunus avium","858.6","Sweet_cherry_CRS_phenotyping_2012"
"30","Benton","Prunus avium","963.6","Sweet_cherry_CRS_phenotyping_2011"
"31","Cashmere","Prunus avium","817.8","Sweet_cherry_CRS_phenotyping_2012"
"32","Cashmere","Prunus avium","1106.4","Sweet_cherry_CRS_phenotyping_2010"
