"#","Germplasm","Species","SSC","Dataset"
"1","Summit","Prunus avium","17.12","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","17.7","Sweet_cherry_CRS_phenotyping_2010"
"3","Summit","Prunus avium","18.25","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","18.63","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","16.3","Sweet_cherry_CRS_phenotyping_2010"
"7","Regina","Prunus avium","20.55","Sweet_cherry_CRS_phenotyping_2011"
"8","Regina","Prunus avium","20.9","Sweet_cherry_CRS_phenotyping_2012"
"9","Ambrunes","Prunus avium","17.25","Sweet_cherry_CRS_phenotyping_2011"
"10","Ambrunes","Prunus avium","18.4","Sweet_cherry_CRS_phenotyping_2012"
"11","Ambrunes","Prunus avium","19.57","Sweet_cherry_CRS_phenotyping_2010"
"12","Lapins","Prunus avium","17.7","Sweet_cherry_CRS_phenotyping_2012"
"13","Lapins","Prunus avium","17.9","Sweet_cherry_CRS_phenotyping_2011"
"14","Lapins","Prunus avium","19.45","Sweet_cherry_CRS_phenotyping_2010"
"15","Stella","Prunus avium","16.5","Sweet_cherry_CRS_phenotyping_2011"
"16","Stella","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2010"
"18","Sweetheart","Prunus avium","22.06","Sweet_cherry_CRS_phenotyping_2012"
"19","Sweetheart","Prunus avium","23.2","Sweet_cherry_CRS_phenotyping_2011"
"20","Van","Prunus avium","14.8","Sweet_cherry_CRS_phenotyping_2011"
"21","Van","Prunus avium","19.1","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","15.25","Sweet_cherry_CRS_phenotyping_2011"
"23","Schneiders","Prunus avium","20.6","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","22.95","Sweet_cherry_CRS_phenotyping_2011"
"25","Bing","Prunus avium","23.94","Sweet_cherry_CRS_phenotyping_2012"
"26","Rainier","Prunus avium","20.03","Sweet_cherry_CRS_phenotyping_2010"
"27","Rainier","Prunus avium","21.6","Sweet_cherry_CRS_phenotyping_2011"
"28","Rainier","Prunus avium","23.42","Sweet_cherry_CRS_phenotyping_2012"
"29","Benton","Prunus avium","17.57","Sweet_cherry_CRS_phenotyping_2011"
"30","Benton","Prunus avium","22.08","Sweet_cherry_CRS_phenotyping_2012"
"31","Cashmere","Prunus avium","18","Sweet_cherry_CRS_phenotyping_2011"
"32","Cashmere","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2010"
"33","Cashmere","Prunus avium","21.02","Sweet_cherry_CRS_phenotyping_2012"
"34","Chelan","Prunus avium","17.68","Sweet_cherry_CRS_phenotyping_2012"
"35","Chelan","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2011"
"36","Chelan","Prunus avium","18.63","Sweet_cherry_CRS_phenotyping_2010"
"37","Chinook","Prunus avium","15.9","Sweet_cherry_CRS_phenotyping_2011"
"38","Chinook","Prunus avium","22.62","Sweet_cherry_CRS_phenotyping_2012"
"39","Cowiche","Prunus avium","23.67","Sweet_cherry_CRS_phenotyping_2011"
"40","Cowiche","Prunus avium","24.4","Sweet_cherry_CRS_phenotyping_2010"
"41","Cowiche","Prunus avium","25.24","Sweet_cherry_CRS_phenotyping_2012"
"42","Gil Peck","Prunus avium","17.92","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","17.48","Sweet_cherry_CRS_phenotyping_2012"
"44","Glacier","Prunus avium","17.9","Sweet_cherry_CRS_phenotyping_2011"
"45","Glacier","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2010"
"46","Kiona","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2011"
"47","Kiona","Prunus avium","21.7","Sweet_cherry_CRS_phenotyping_2010"
"48","Kiona","Prunus avium","22.9","Sweet_cherry_CRS_phenotyping_2012"
"49","NY 54","Prunus avium","21.95","Sweet_cherry_CRS_phenotyping_2011"
"50","NY 54","Prunus avium","25.34","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","21.87","Sweet_cherry_CRS_phenotyping_2010"
"52","PMR-1","Prunus avium","22.7","Sweet_cherry_CRS_phenotyping_2011"
"53","PMR-1","Prunus avium","22.76","Sweet_cherry_CRS_phenotyping_2012"
"54","Schmidt","Prunus avium","19.67","Sweet_cherry_CRS_phenotyping_2011"
"55","Schmidt","Prunus avium","23.06","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","17.44","Sweet_cherry_CRS_phenotyping_2012"
"57","Selah","Prunus avium","24.45","Sweet_cherry_CRS_phenotyping_2011"
"58","Tieton","Prunus avium","17","Sweet_cherry_CRS_phenotyping_2011"
"59","Tieton","Prunus avium","18.74","Sweet_cherry_CRS_phenotyping_2012"
"60","Tieton","Prunus avium","20.78","Sweet_cherry_CRS_phenotyping_2010"
"61","Vic","Prunus avium","15.65","Sweet_cherry_CRS_phenotyping_2011"
"62","Vic","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2012"
"64","Windsor","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2011"
"65","Olympus","Prunus avium","17.94","Sweet_cherry_CRS_phenotyping_2010"
"66","Kordia","Prunus avium","16.65","Sweet_cherry_CRS_phenotyping_2011"
"67","Kordia","Prunus avium","19.88","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","20.04","Sweet_cherry_CRS_phenotyping_2012"
"69","FR1T068","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"70","FR1T068","Prunus avium","21.28","Sweet_cherry_CRS_phenotyping_2010"
"71","FR12T078","Prunus avium","22.64","Sweet_cherry_CRS_phenotyping_2012"
"72","FR12T078","Prunus avium","23.25","Sweet_cherry_CRS_phenotyping_2011"
"73","FR8T012","Prunus avium","18.95","Sweet_cherry_CRS_phenotyping_2011"
"74","FR8T012","Prunus avium","21.76","Sweet_cherry_CRS_phenotyping_2012"
"75","FR12T081","Prunus avium","16.8","Sweet_cherry_CRS_phenotyping_2011"
