"#","Germplasm","Species","Skin_C_blush","Dataset"
"1","Rainier","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"2","Rainier","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"3","Rainier","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"4","FR12T081","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"5","FR12T081","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"6","FR2T063","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"7","FR2T030","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2011"
"8","FR2T030","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2010"
"9","FR2T030","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2012"
"10","FR1T035","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2010"
"11","FR1T035","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"12","FR1T035","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"13","FR1T069","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"14","FR1T069","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"15","FR1T069","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"16","FR2T058","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"17","FR2T058","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"18","FR2T058","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"19","FR31T016","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"20","FR23T097","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"21","FR27T018","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"22","FR27T018","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"23","FR28T100","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"24","FR28T100","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"25","FR28T101","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"26","FR28T101","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"27","FR28T106","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"28","FR28T106","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"29","FR29T074","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"30","FR11T016","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"31","FR11T016","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"32","FR11T017","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"33","FR11T017","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2011"
"34","FR11T017","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2012"
"35","FR11T019","Prunus avium","1.8","Sweet_cherry_CRS_phenotyping_2011"
"36","FR11T019","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"37","FR11T028","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"38","FR11T028","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"39","FR11T028","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"40","FR11T029","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"41","FR11T029","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"42","FR11T029","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"43","FR11T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"44","FR11T030","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2012"
"45","FR11T031","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"46","FR11T031","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"47","FR11T031","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"48","FR12T056","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"49","FR12T056","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"50","FR12T068","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"51","FR12T068","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"52","FR14T080","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"53","FR14T080","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"54","FR16T041","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"55","FR17T006","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"56","FR17T006","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"57","FR18T071","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"58","FR18T071","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"59","FR1T027","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"60","FR1T027","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"61","FR1T028","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"62","FR1T028","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2012"
"63","FR1T039","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"64","FR1T039","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"65","FR1T039","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"66","FR1T040","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"67","FR1T040","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"68","FR1T040","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"69","FR1T054","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2010"
"70","FR1T054","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"71","FR1T054","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"72","FR21T037","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"73","FR22T001","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"74","FR22T002","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"75","FR22T002","Prunus avium","1.5","Sweet_cherry_CRS_phenotyping_2011"
"76","FR22T003","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"77","FR23T065","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"78","FR23T069","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"79","FR23T089","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"80","FR23T113","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"81","FR23T128","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"82","FR24T069","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"83","FR26T036","Prunus avium","1.8","Sweet_cherry_CRS_phenotyping_2012"
"84","FR26T036","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"85","FR27T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"86","FR27T001","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"87","FR27T008","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"88","FR27T009","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"89","FR27T012","Prunus avium","1.5","Sweet_cherry_CRS_phenotyping_2011"
"90","FR27T012","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"91","FR27T013","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
