"#","Germplasm","Species","Skin_C_mahogany","Dataset"
"1","Summit","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"2","Summit","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"3","Summit","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"4","Lambert","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"5","Lambert","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"6","Regina","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"7","Regina","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"8","Regina","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"9","Ambrunes","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"10","Ambrunes","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2010"
"11","Ambrunes","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"12","Lapins","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"13","Lapins","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"14","Lapins","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"16","Stella","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"17","Sweetheart","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"18","Sweetheart","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"19","Sweetheart","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"20","Van","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"21","Van","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"22","Schneiders","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"23","Schneiders","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"24","Bing","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"25","Bing","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"26","Benton","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"27","Benton","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2011"
"28","Cashmere","Prunus avium","4.7","Sweet_cherry_CRS_phenotyping_2011"
"29","Cashmere","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"30","Cashmere","Prunus avium","6.8","Sweet_cherry_CRS_phenotyping_2012"
"31","Chelan","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"32","Chelan","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2011"
"33","Chelan","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"34","Chinook","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"35","Chinook","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"36","Cowiche","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"37","Cowiche","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"38","Cowiche","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"39","Gil Peck","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"40","Glacier","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"41","Glacier","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"42","Glacier","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"43","Kiona","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"44","Kiona","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"45","Kiona","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"46","NY 54","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"47","NY 54","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"48","PMR-1","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2010"
"49","PMR-1","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2011"
"50","PMR-1","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"51","Schmidt","Prunus avium","3.3","Sweet_cherry_CRS_phenotyping_2011"
"52","Schmidt","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"53","Selah","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"54","Selah","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"55","Tieton","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2010"
"56","Tieton","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"57","Tieton","Prunus avium","6.6","Sweet_cherry_CRS_phenotyping_2011"
"58","Vic","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"59","Vic","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"60","Windsor","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"61","Windsor","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"62","Kordia","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"63","Kordia","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"64","FR1T068","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"65","FR1T068","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"66","FR1T068","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"67","FR12T078","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"68","FR12T078","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2011"
"69","FR8T012","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"70","FR8T012","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"71","FR28T002","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"72","FR1T036","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"73","FR1T036","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"74","FR1T036","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"75","FR1T074","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"76","FR1T074","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"77","FR1T074","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"78","FR14T012","Prunus avium","6.5","Sweet_cherry_CRS_phenotyping_2012"
"79","FR3T070","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2010"
"80","FR3T070","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"81","FR3T070","Prunus avium","6.2","Sweet_cherry_CRS_phenotyping_2011"
"82","FR1T066","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"83","FR1T066","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2012"
"84","FR1T066","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"85","FR14T100","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"86","FR14T100","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"87","FR20T045","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"88","FR21T040","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"89","FR21T040","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"90","FR28T001","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"91","FR28T102","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"92","FR28T104","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"93","FR28T104","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"94","FR28T105","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2011"
