"#","Germplasm","Species","Spec_Flesh_Color_L","Dataset"
"1","Summit","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2010"
"2","Regina","Prunus avium","18.23","Sweet_cherry_CRS_phenotyping_2010"
"3","Ambrunes","Prunus avium","28.4","Sweet_cherry_CRS_phenotyping_2010"
"4","Lapins","Prunus avium","19.24","Sweet_cherry_CRS_phenotyping_2010"
"5","Sweetheart","Prunus avium","32.91","Sweet_cherry_CRS_phenotyping_2010"
"6","Rainier","Prunus avium","29.79","Sweet_cherry_CRS_phenotyping_2010"
"7","Cashmere","Prunus avium","16.87","Sweet_cherry_CRS_phenotyping_2010"
"8","Chelan","Prunus avium","16.43","Sweet_cherry_CRS_phenotyping_2010"
"9","Cowiche","Prunus avium","16.63","Sweet_cherry_CRS_phenotyping_2010"
"10","Glacier","Prunus avium","13.15","Sweet_cherry_CRS_phenotyping_2010"
"11","Kiona","Prunus avium","19.61","Sweet_cherry_CRS_phenotyping_2010"
"12","PMR-1","Prunus avium","15.44","Sweet_cherry_CRS_phenotyping_2010"
"13","Tieton","Prunus avium","23.05","Sweet_cherry_CRS_phenotyping_2010"
"14","FR1T068","Prunus avium","14.67","Sweet_cherry_CRS_phenotyping_2010"
"15","FR1T036","Prunus avium","21.95","Sweet_cherry_CRS_phenotyping_2010"
"16","FR1T074","Prunus avium","18.63","Sweet_cherry_CRS_phenotyping_2010"
"17","FR2T030","Prunus avium","47.53","Sweet_cherry_CRS_phenotyping_2010"
"18","FR3T070","Prunus avium","23.26","Sweet_cherry_CRS_phenotyping_2010"
"19","FR1T035","Prunus avium","39.64","Sweet_cherry_CRS_phenotyping_2010"
"20","FR1T066","Prunus avium","22.33","Sweet_cherry_CRS_phenotyping_2010"
"21","FR1T069","Prunus avium","38.44","Sweet_cherry_CRS_phenotyping_2010"
"22","FR2T058","Prunus avium","33.12","Sweet_cherry_CRS_phenotyping_2010"
"23","FR11T015","Prunus avium","22.98","Sweet_cherry_CRS_phenotyping_2010"
"24","FR11T017","Prunus avium","48.6","Sweet_cherry_CRS_phenotyping_2010"
"25","FR11T018","Prunus avium","21.17","Sweet_cherry_CRS_phenotyping_2010"
"26","FR11T025","Prunus avium","16.36","Sweet_cherry_CRS_phenotyping_2010"
"27","FR11T027","Prunus avium","21.01","Sweet_cherry_CRS_phenotyping_2010"
"28","FR11T028","Prunus avium","44.98","Sweet_cherry_CRS_phenotyping_2010"
"29","FR11T029","Prunus avium","43.9","Sweet_cherry_CRS_phenotyping_2010"
"30","FR11T030","Prunus avium","37","Sweet_cherry_CRS_phenotyping_2010"
"31","FR11T031","Prunus avium","40.68","Sweet_cherry_CRS_phenotyping_2010"
"32","FR11T032","Prunus avium","20.03","Sweet_cherry_CRS_phenotyping_2010"
"33","FR12T011","Prunus avium","15.59","Sweet_cherry_CRS_phenotyping_2010"
"34","FR1T029","Prunus avium","20.99","Sweet_cherry_CRS_phenotyping_2010"
"35","FR1T030","Prunus avium","17.35","Sweet_cherry_CRS_phenotyping_2010"
"36","FR1T031","Prunus avium","14.9","Sweet_cherry_CRS_phenotyping_2010"
"37","FR1T032","Prunus avium","14.52","Sweet_cherry_CRS_phenotyping_2010"
"38","FR1T033","Prunus avium","15.99","Sweet_cherry_CRS_phenotyping_2010"
"39","FR1T037","Prunus avium","19.88","Sweet_cherry_CRS_phenotyping_2010"
"40","FR1T038","Prunus avium","16.07","Sweet_cherry_CRS_phenotyping_2010"
"41","FR1T039","Prunus avium","41.73","Sweet_cherry_CRS_phenotyping_2010"
"42","FR1T040","Prunus avium","38.72","Sweet_cherry_CRS_phenotyping_2010"
"43","FR1T041","Prunus avium","20.95","Sweet_cherry_CRS_phenotyping_2010"
"44","FR1T042","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2010"
"45","FR1T054","Prunus avium","43.48","Sweet_cherry_CRS_phenotyping_2010"
"46","FR1T056","Prunus avium","18.44","Sweet_cherry_CRS_phenotyping_2010"
"47","FR1T065","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2010"
"48","FR1T073","Prunus avium","21.58","Sweet_cherry_CRS_phenotyping_2010"
"49","FR2T035","Prunus avium","19.51","Sweet_cherry_CRS_phenotyping_2010"
"50","FR2T037","Prunus avium","37.66","Sweet_cherry_CRS_phenotyping_2010"
"51","FR2T038","Prunus avium","38.55","Sweet_cherry_CRS_phenotyping_2010"
"52","FR2T040","Prunus avium","20.73","Sweet_cherry_CRS_phenotyping_2010"
"53","FR2T045","Prunus avium","14.26","Sweet_cherry_CRS_phenotyping_2010"
"54","FR2T046","Prunus avium","25.84","Sweet_cherry_CRS_phenotyping_2010"
"55","FR2T049","Prunus avium","17.98","Sweet_cherry_CRS_phenotyping_2010"
"56","FR2T050","Prunus avium","21.7","Sweet_cherry_CRS_phenotyping_2010"
"57","FR2T054","Prunus avium","19.06","Sweet_cherry_CRS_phenotyping_2010"
"58","FR2T057","Prunus avium","17.51","Sweet_cherry_CRS_phenotyping_2010"
"59","FR2T079","Prunus avium","22.85","Sweet_cherry_CRS_phenotyping_2010"
"60","FR2T080","Prunus avium","17.61","Sweet_cherry_CRS_phenotyping_2010"
"61","FR3T002","Prunus avium","19.93","Sweet_cherry_CRS_phenotyping_2010"
"62","FR3T004","Prunus avium","21.16","Sweet_cherry_CRS_phenotyping_2010"
"63","FR3T018","Prunus avium","20.36","Sweet_cherry_CRS_phenotyping_2010"
"64","FR3T020","Prunus avium","19.42","Sweet_cherry_CRS_phenotyping_2010"
"65","FR3T021","Prunus avium","15.63","Sweet_cherry_CRS_phenotyping_2010"
"66","FR3T025","Prunus avium","15.47","Sweet_cherry_CRS_phenotyping_2010"
"67","FR3T029","Prunus avium","21.34","Sweet_cherry_CRS_phenotyping_2010"
"68","FR3T043","Prunus avium","19.1","Sweet_cherry_CRS_phenotyping_2010"
"69","FR3T050","Prunus avium","17.94","Sweet_cherry_CRS_phenotyping_2010"
"70","FR3T056","Prunus avium","18.27","Sweet_cherry_CRS_phenotyping_2010"
"71","FR3T057","Prunus avium","26.2","Sweet_cherry_CRS_phenotyping_2010"
"72","FR5T021","Prunus avium","20.22","Sweet_cherry_CRS_phenotyping_2010"
"73","PC 9816-005","Prunus avium","15.84","Sweet_cherry_CRS_phenotyping_2010"
"74","PC 9816-023","Prunus avium","13.53","Sweet_cherry_CRS_phenotyping_2010"
"75","PC 9816-041","Prunus avium","17.51","Sweet_cherry_CRS_phenotyping_2010"
"76","PC 9816-059","Prunus avium","16.75","Sweet_cherry_CRS_phenotyping_2010"
"77","PC 9816-083","Prunus avium","15.75","Sweet_cherry_CRS_phenotyping_2010"
