"#","Germplasm","Species","Spec_Flesh_Color_b","Dataset"
"1","Summit","Prunus avium","5.24","Sweet_cherry_CRS_phenotyping_2010"
"2","Regina","Prunus avium","8.07","Sweet_cherry_CRS_phenotyping_2010"
"3","Ambrunes","Prunus avium","11.73","Sweet_cherry_CRS_phenotyping_2010"
"4","Lapins","Prunus avium","7.3","Sweet_cherry_CRS_phenotyping_2010"
"5","Sweetheart","Prunus avium","15.02","Sweet_cherry_CRS_phenotyping_2010"
"6","Rainier","Prunus avium","20.24","Sweet_cherry_CRS_phenotyping_2010"
"7","Cashmere","Prunus avium","-0.87","Sweet_cherry_CRS_phenotyping_2010"
"8","Chelan","Prunus avium","3.23","Sweet_cherry_CRS_phenotyping_2010"
"9","Cowiche","Prunus avium","1.48","Sweet_cherry_CRS_phenotyping_2010"
"10","Glacier","Prunus avium","0.99","Sweet_cherry_CRS_phenotyping_2010"
"11","Kiona","Prunus avium","3.37","Sweet_cherry_CRS_phenotyping_2010"
"12","PMR-1","Prunus avium","2.84","Sweet_cherry_CRS_phenotyping_2010"
"13","Tieton","Prunus avium","4.87","Sweet_cherry_CRS_phenotyping_2010"
"14","FR1T068","Prunus avium","2.92","Sweet_cherry_CRS_phenotyping_2010"
"15","FR1T036","Prunus avium","4.02","Sweet_cherry_CRS_phenotyping_2010"
"16","FR1T074","Prunus avium","3.88","Sweet_cherry_CRS_phenotyping_2010"
"17","FR2T030","Prunus avium","29.4","Sweet_cherry_CRS_phenotyping_2010"
"18","FR3T070","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"19","FR1T035","Prunus avium","23.21","Sweet_cherry_CRS_phenotyping_2010"
"20","FR1T066","Prunus avium","4.55","Sweet_cherry_CRS_phenotyping_2010"
"21","FR1T069","Prunus avium","24.39","Sweet_cherry_CRS_phenotyping_2010"
"22","FR2T058","Prunus avium","19.19","Sweet_cherry_CRS_phenotyping_2010"
"23","FR11T015","Prunus avium","8.19","Sweet_cherry_CRS_phenotyping_2010"
"24","FR11T017","Prunus avium","30.33","Sweet_cherry_CRS_phenotyping_2010"
"25","FR11T018","Prunus avium","3.9","Sweet_cherry_CRS_phenotyping_2010"
"26","FR11T025","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"27","FR11T027","Prunus avium","4.58","Sweet_cherry_CRS_phenotyping_2010"
"28","FR11T028","Prunus avium","23.43","Sweet_cherry_CRS_phenotyping_2010"
"29","FR11T029","Prunus avium","28.1","Sweet_cherry_CRS_phenotyping_2010"
"30","FR11T030","Prunus avium","24.83","Sweet_cherry_CRS_phenotyping_2010"
