"#","Germplasm","Species","Spec_Skin_Color_a","Dataset"
"1","Summit","Prunus avium","12.8","Sweet_cherry_CRS_phenotyping_2010"
"2","Regina","Prunus avium","17.73","Sweet_cherry_CRS_phenotyping_2010"
"3","Ambrunes","Prunus avium","20.86","Sweet_cherry_CRS_phenotyping_2010"
"4","Lapins","Prunus avium","25.94","Sweet_cherry_CRS_phenotyping_2010"
"5","Sweetheart","Prunus avium","24.09","Sweet_cherry_CRS_phenotyping_2010"
"6","Rainier","Prunus avium","1.76","Sweet_cherry_CRS_phenotyping_2010"
"7","Cashmere","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2010"
"8","Chelan","Prunus avium","17.03","Sweet_cherry_CRS_phenotyping_2010"
"9","Cowiche","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2010"
"10","Glacier","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2010"
"11","Kiona","Prunus avium","23.82","Sweet_cherry_CRS_phenotyping_2010"
"12","PMR-1","Prunus avium","16.83","Sweet_cherry_CRS_phenotyping_2010"
"13","Tieton","Prunus avium","16.93","Sweet_cherry_CRS_phenotyping_2010"
"14","FR1T068","Prunus avium","23.15","Sweet_cherry_CRS_phenotyping_2010"
"15","FR1T036","Prunus avium","14.31","Sweet_cherry_CRS_phenotyping_2010"
"16","FR1T074","Prunus avium","11.66","Sweet_cherry_CRS_phenotyping_2010"
"17","FR2T030","Prunus avium","11.29","Sweet_cherry_CRS_phenotyping_2010"
"18","FR3T070","Prunus avium","19.56","Sweet_cherry_CRS_phenotyping_2010"
"19","FR1T035","Prunus avium","16.94","Sweet_cherry_CRS_phenotyping_2010"
"20","FR1T066","Prunus avium","14.59","Sweet_cherry_CRS_phenotyping_2010"
"21","FR1T069","Prunus avium","27.45","Sweet_cherry_CRS_phenotyping_2010"
"22","FR2T058","Prunus avium","34.51","Sweet_cherry_CRS_phenotyping_2010"
"23","FR11T015","Prunus avium","18.72","Sweet_cherry_CRS_phenotyping_2010"
"24","FR11T017","Prunus avium","13.18","Sweet_cherry_CRS_phenotyping_2010"
"25","FR11T018","Prunus avium","19.19","Sweet_cherry_CRS_phenotyping_2010"
"26","FR11T025","Prunus avium","12.27","Sweet_cherry_CRS_phenotyping_2010"
"27","FR11T027","Prunus avium","20.07","Sweet_cherry_CRS_phenotyping_2010"
"28","FR11T028","Prunus avium","20.34","Sweet_cherry_CRS_phenotyping_2010"
"29","FR11T029","Prunus avium","22.21","Sweet_cherry_CRS_phenotyping_2010"
"30","FR11T030","Prunus avium","22.93","Sweet_cherry_CRS_phenotyping_2010"
"31","FR11T031","Prunus avium","16.8","Sweet_cherry_CRS_phenotyping_2010"
"32","FR11T032","Prunus avium","16.2","Sweet_cherry_CRS_phenotyping_2010"
"33","FR12T011","Prunus avium","21.39","Sweet_cherry_CRS_phenotyping_2010"
"34","FR1T029","Prunus avium","22.76","Sweet_cherry_CRS_phenotyping_2010"
"35","FR1T030","Prunus avium","15.44","Sweet_cherry_CRS_phenotyping_2010"
"36","FR1T031","Prunus avium","13.09","Sweet_cherry_CRS_phenotyping_2010"
"37","FR1T032","Prunus avium","10.01","Sweet_cherry_CRS_phenotyping_2010"
"38","FR1T033","Prunus avium","19.21","Sweet_cherry_CRS_phenotyping_2010"
"39","FR1T037","Prunus avium","14.97","Sweet_cherry_CRS_phenotyping_2010"
"40","FR1T038","Prunus avium","9.68","Sweet_cherry_CRS_phenotyping_2010"
"41","FR1T039","Prunus avium","17.26","Sweet_cherry_CRS_phenotyping_2010"
"42","FR1T040","Prunus avium","20.23","Sweet_cherry_CRS_phenotyping_2010"
"43","FR1T041","Prunus avium","15.13","Sweet_cherry_CRS_phenotyping_2010"
"44","FR1T042","Prunus avium","15.68","Sweet_cherry_CRS_phenotyping_2010"
"45","FR1T054","Prunus avium","23.53","Sweet_cherry_CRS_phenotyping_2010"
"46","FR1T056","Prunus avium","18.34","Sweet_cherry_CRS_phenotyping_2010"
"47","FR1T065","Prunus avium","17.43","Sweet_cherry_CRS_phenotyping_2010"
"48","FR1T073","Prunus avium","19.66","Sweet_cherry_CRS_phenotyping_2010"
"49","FR2T035","Prunus avium","11.56","Sweet_cherry_CRS_phenotyping_2010"
"50","FR2T037","Prunus avium","21.6","Sweet_cherry_CRS_phenotyping_2010"
"51","FR2T038","Prunus avium","34.09","Sweet_cherry_CRS_phenotyping_2010"
"52","FR2T040","Prunus avium","15.31","Sweet_cherry_CRS_phenotyping_2010"
"53","FR2T045","Prunus avium","16.01","Sweet_cherry_CRS_phenotyping_2010"
"54","FR2T046","Prunus avium","28.09","Sweet_cherry_CRS_phenotyping_2010"
"55","FR2T049","Prunus avium","16.53","Sweet_cherry_CRS_phenotyping_2010"
"56","FR2T050","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2010"
"57","FR2T054","Prunus avium","16.95","Sweet_cherry_CRS_phenotyping_2010"
"58","FR2T057","Prunus avium","17.21","Sweet_cherry_CRS_phenotyping_2010"
"59","FR2T079","Prunus avium","16.15","Sweet_cherry_CRS_phenotyping_2010"
"60","FR2T080","Prunus avium","8.94","Sweet_cherry_CRS_phenotyping_2010"
"61","FR3T002","Prunus avium","18.18","Sweet_cherry_CRS_phenotyping_2010"
"62","FR3T004","Prunus avium","14.76","Sweet_cherry_CRS_phenotyping_2010"
"63","FR3T018","Prunus avium","14.81","Sweet_cherry_CRS_phenotyping_2010"
"64","FR3T020","Prunus avium","12.94","Sweet_cherry_CRS_phenotyping_2010"
"65","FR3T021","Prunus avium","9.2","Sweet_cherry_CRS_phenotyping_2010"
"66","FR3T025","Prunus avium","5.42","Sweet_cherry_CRS_phenotyping_2010"
"67","FR3T029","Prunus avium","8.73","Sweet_cherry_CRS_phenotyping_2010"
"68","FR3T043","Prunus avium","22.4","Sweet_cherry_CRS_phenotyping_2010"
"69","FR3T050","Prunus avium","12.38","Sweet_cherry_CRS_phenotyping_2010"
"70","FR3T056","Prunus avium","4.84","Sweet_cherry_CRS_phenotyping_2010"
"71","FR3T057","Prunus avium","5.96","Sweet_cherry_CRS_phenotyping_2010"
"72","FR5T021","Prunus avium","13.26","Sweet_cherry_CRS_phenotyping_2010"
"73","PC 9816-005","Prunus avium","24.11","Sweet_cherry_CRS_phenotyping_2010"
"74","PC 9816-023","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2010"
"75","PC 9816-041","Prunus avium","15.27","Sweet_cherry_CRS_phenotyping_2010"
"76","PC 9816-059","Prunus avium","13.45","Sweet_cherry_CRS_phenotyping_2010"
"77","PC 9816-083","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2010"
"78","PC 9816-103","Prunus avium","14.62","Sweet_cherry_CRS_phenotyping_2010"
"79","PC 9816-105","Prunus avium","14.85","Sweet_cherry_CRS_phenotyping_2010"
"80","PC 9816-106","Prunus avium","30.48","Sweet_cherry_CRS_phenotyping_2010"
"81","PC 9816-078","Prunus avium","8.59","Sweet_cherry_CRS_phenotyping_2010"
