"#","Germplasm","Species","Stem_length","Dataset"
"1","Summit","Prunus avium","48.14","Sweet_cherry_CRS_phenotyping_2011"
"2","Summit","Prunus avium","48.38","Sweet_cherry_CRS_phenotyping_2010"
"3","Lambert","Prunus avium","38.48","Sweet_cherry_CRS_phenotyping_2011"
"4","Regina","Prunus avium","50.59","Sweet_cherry_CRS_phenotyping_2010"
"5","Regina","Prunus avium","57.63","Sweet_cherry_CRS_phenotyping_2011"
"6","Ambrunes","Prunus avium","45.79","Sweet_cherry_CRS_phenotyping_2011"
"7","Ambrunes","Prunus avium","48.32","Sweet_cherry_CRS_phenotyping_2010"
"8","Lapins","Prunus avium","37.82","Sweet_cherry_CRS_phenotyping_2011"
"9","Lapins","Prunus avium","41.39","Sweet_cherry_CRS_phenotyping_2010"
"10","Stella","Prunus avium","40.9","Sweet_cherry_CRS_phenotyping_2011"
"11","Sweetheart","Prunus avium","27.4","Sweet_cherry_CRS_phenotyping_2010"
"12","Sweetheart","Prunus avium","43.41","Sweet_cherry_CRS_phenotyping_2011"
"13","Van","Prunus avium","35.58","Sweet_cherry_CRS_phenotyping_2011"
"14","Schneiders","Prunus avium","45.83","Sweet_cherry_CRS_phenotyping_2011"
"15","Bing","Prunus avium","51.2","Sweet_cherry_CRS_phenotyping_2011"
"16","Rainier","Prunus avium","29.34","Sweet_cherry_CRS_phenotyping_2010"
"17","Rainier","Prunus avium","36.49","Sweet_cherry_CRS_phenotyping_2011"
"18","Benton","Prunus avium","45.3","Sweet_cherry_CRS_phenotyping_2011"
"19","Cashmere","Prunus avium","45.24","Sweet_cherry_CRS_phenotyping_2010"
"20","Cashmere","Prunus avium","51.66","Sweet_cherry_CRS_phenotyping_2011"
"21","Chelan","Prunus avium","30.5","Sweet_cherry_CRS_phenotyping_2010"
"22","Chelan","Prunus avium","44.9","Sweet_cherry_CRS_phenotyping_2011"
"23","Chinook","Prunus avium","35.49","Sweet_cherry_CRS_phenotyping_2011"
"24","Cowiche","Prunus avium","47.22","Sweet_cherry_CRS_phenotyping_2010"
"25","Cowiche","Prunus avium","59.58","Sweet_cherry_CRS_phenotyping_2011"
"26","Glacier","Prunus avium","48.14","Sweet_cherry_CRS_phenotyping_2011"
"27","Glacier","Prunus avium","52.58","Sweet_cherry_CRS_phenotyping_2010"
"28","Kiona","Prunus avium","48.1","Sweet_cherry_CRS_phenotyping_2010"
"29","Kiona","Prunus avium","50.11","Sweet_cherry_CRS_phenotyping_2011"
"30","NY 54","Prunus avium","55.8","Sweet_cherry_CRS_phenotyping_2011"
"31","PMR-1","Prunus avium","53.15","Sweet_cherry_CRS_phenotyping_2010"
"32","PMR-1","Prunus avium","66.5","Sweet_cherry_CRS_phenotyping_2011"
"33","Schmidt","Prunus avium","44.86","Sweet_cherry_CRS_phenotyping_2011"
"34","Selah","Prunus avium","63.79","Sweet_cherry_CRS_phenotyping_2011"
"35","Tieton","Prunus avium","34.31","Sweet_cherry_CRS_phenotyping_2010"
"36","Tieton","Prunus avium","42.43","Sweet_cherry_CRS_phenotyping_2011"
"37","Vic","Prunus avium","33.48","Sweet_cherry_CRS_phenotyping_2011"
"38","Windsor","Prunus avium","33.08","Sweet_cherry_CRS_phenotyping_2011"
"39","Olympus","Prunus avium","37.57","Sweet_cherry_CRS_phenotyping_2010"
"40","Kordia","Prunus avium","54.23","Sweet_cherry_CRS_phenotyping_2011"
"41","FR1T068","Prunus avium","40.13","Sweet_cherry_CRS_phenotyping_2010"
"42","FR1T068","Prunus avium","53.93","Sweet_cherry_CRS_phenotyping_2011"
"43","FR12T078","Prunus avium","37.22","Sweet_cherry_CRS_phenotyping_2011"
"44","FR8T012","Prunus avium","31.93","Sweet_cherry_CRS_phenotyping_2011"
"45","FR12T081","Prunus avium","44.92","Sweet_cherry_CRS_phenotyping_2011"
"46","FR1T036","Prunus avium","47.05","Sweet_cherry_CRS_phenotyping_2011"
"47","FR1T036","Prunus avium","47.29","Sweet_cherry_CRS_phenotyping_2010"
"48","FR1T074","Prunus avium","44.17","Sweet_cherry_CRS_phenotyping_2011"
"49","FR1T074","Prunus avium","50.49","Sweet_cherry_CRS_phenotyping_2010"
"50","FR2T030","Prunus avium","49.17","Sweet_cherry_CRS_phenotyping_2011"
"51","FR2T030","Prunus avium","53.78","Sweet_cherry_CRS_phenotyping_2010"
"52","FR3T070","Prunus avium","38.87","Sweet_cherry_CRS_phenotyping_2010"
"53","FR3T070","Prunus avium","41.05","Sweet_cherry_CRS_phenotyping_2011"
"54","FR1T035","Prunus avium","44.95","Sweet_cherry_CRS_phenotyping_2011"
"55","FR1T035","Prunus avium","50.56","Sweet_cherry_CRS_phenotyping_2010"
"56","FR1T066","Prunus avium","47.68","Sweet_cherry_CRS_phenotyping_2010"
"57","FR1T066","Prunus avium","56.26","Sweet_cherry_CRS_phenotyping_2011"
"58","FR1T069","Prunus avium","31.12","Sweet_cherry_CRS_phenotyping_2010"
"59","FR1T069","Prunus avium","34.18","Sweet_cherry_CRS_phenotyping_2011"
"60","FR2T058","Prunus avium","36.22","Sweet_cherry_CRS_phenotyping_2010"
"61","FR2T058","Prunus avium","46.64","Sweet_cherry_CRS_phenotyping_2011"
"62","FR14T100","Prunus avium","36.87","Sweet_cherry_CRS_phenotyping_2011"
"63","FR21T040","Prunus avium","42.92","Sweet_cherry_CRS_phenotyping_2011"
"64","FR27T018","Prunus avium","42.3","Sweet_cherry_CRS_phenotyping_2011"
"65","FR28T100","Prunus avium","43.13","Sweet_cherry_CRS_phenotyping_2011"
"66","FR28T101","Prunus avium","46.3","Sweet_cherry_CRS_phenotyping_2011"
"67","FR28T104","Prunus avium","39.8","Sweet_cherry_CRS_phenotyping_2011"
"68","FR28T105","Prunus avium","36.6","Sweet_cherry_CRS_phenotyping_2011"
"69","FR28T106","Prunus avium","42.15","Sweet_cherry_CRS_phenotyping_2011"
"70","FR28T107","Prunus avium","43.84","Sweet_cherry_CRS_phenotyping_2011"
"71","FR28T108","Prunus avium","45.15","Sweet_cherry_CRS_phenotyping_2011"
"72","FR29T075","Prunus avium","28.93","Sweet_cherry_CRS_phenotyping_2011"
"73","FR29T076","Prunus avium","37.45","Sweet_cherry_CRS_phenotyping_2011"
"74","FR29T077","Prunus avium","40.31","Sweet_cherry_CRS_phenotyping_2011"
"75","FR10T099","Prunus avium","45.47","Sweet_cherry_CRS_phenotyping_2011"
"76","FR10T101","Prunus avium","27.36","Sweet_cherry_CRS_phenotyping_2011"
"77","FR11T015","Prunus avium","29.63","Sweet_cherry_CRS_phenotyping_2010"
"78","FR11T015","Prunus avium","35.12","Sweet_cherry_CRS_phenotyping_2011"
"79","FR11T016","Prunus avium","52.85","Sweet_cherry_CRS_phenotyping_2011"
"80","FR11T017","Prunus avium","33.31","Sweet_cherry_CRS_phenotyping_2010"
"81","FR11T017","Prunus avium","41.41","Sweet_cherry_CRS_phenotyping_2011"
"82","FR11T018","Prunus avium","36.88","Sweet_cherry_CRS_phenotyping_2010"
"83","FR11T019","Prunus avium","38.38","Sweet_cherry_CRS_phenotyping_2011"
"84","FR11T025","Prunus avium","46.29","Sweet_cherry_CRS_phenotyping_2011"
