"#","Germplasm","Species","TA","Dataset"
"1","Summit","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"2","Summit","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2011"
"3","Summit","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2010"
"4","Lambert","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2012"
"5","Lambert","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"6","Regina","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2012"
"7","Regina","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2011"
"8","Regina","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2010"
"9","Ambrunes","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2012"
"10","Ambrunes","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2010"
"11","Lapins","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"12","Lapins","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"13","Lapins","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2011"
"14","Stella","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"15","Stella","Prunus avium","0.95","Sweet_cherry_CRS_phenotyping_2011"
"16","Sweetheart","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2010"
"17","Sweetheart","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2011"
"18","Sweetheart","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2012"
"19","Van","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2012"
"20","Van","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"21","Schneiders","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2012"
"22","Bing","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"23","Bing","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2011"
"24","Rainier","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"25","Rainier","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2011"
"26","Rainier","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2012"
"27","Benton","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2012"
"28","Cashmere","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2012"
"29","Cashmere","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2010"
"30","Cashmere","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2011"
"31","Chelan","Prunus avium","0.87","Sweet_cherry_CRS_phenotyping_2011"
"32","Chelan","Prunus avium","0.87","Sweet_cherry_CRS_phenotyping_2012"
"33","Chelan","Prunus avium","0.95","Sweet_cherry_CRS_phenotyping_2010"
"34","Chinook","Prunus avium","0.37","Sweet_cherry_CRS_phenotyping_2012"
"35","Cowiche","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2012"
"36","Glacier","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"37","Glacier","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2011"
"38","Glacier","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2010"
"39","Kiona","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"40","Kiona","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"41","Kiona","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"42","NY 54","Prunus avium","1.26","Sweet_cherry_CRS_phenotyping_2012"
"43","PMR-1","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2012"
"44","PMR-1","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2010"
"45","Schmidt","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"46","Selah","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"47","Selah","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"48","Tieton","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"49","Tieton","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"50","Tieton","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2011"
"51","Vic","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2012"
"52","Windsor","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"53","Olympus","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"54","Kordia","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2012"
"55","Kordia","Prunus avium","0.86","Sweet_cherry_CRS_phenotyping_2011"
"56","FR1T068","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2011"
"57","FR1T068","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2012"
"58","FR1T068","Prunus avium","0.86","Sweet_cherry_CRS_phenotyping_2010"
"59","FR12T078","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2011"
"60","FR8T012","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2012"
"61","FR12T081","Prunus avium","0.39","Sweet_cherry_CRS_phenotyping_2012"
"62","FR12T081","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2011"
"63","FR1T036","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2012"
"64","FR1T036","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2011"
"65","FR1T036","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2010"
"66","FR1T074","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2011"
"67","FR1T074","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"68","FR1T074","Prunus avium","1.18","Sweet_cherry_CRS_phenotyping_2012"
"69","FR2T063","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"70","FR2T030","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2011"
"71","FR2T030","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2010"
"72","FR2T030","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"73","FR3T070","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"74","FR3T070","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2012"
"75","FR3T070","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2010"
"76","FR1T035","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2011"
"77","FR1T035","Prunus avium","1.11","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T066","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"79","FR1T066","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T066","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2012"
"81","FR1T069","Prunus avium","0.93","Sweet_cherry_CRS_phenotyping_2010"
"82","FR1T069","Prunus avium","0.95","Sweet_cherry_CRS_phenotyping_2011"
"83","FR1T069","Prunus avium","1.03","Sweet_cherry_CRS_phenotyping_2012"
"84","FR2T058","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2010"
"85","FR2T058","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"86","FR2T058","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2011"
"87","FR14T100","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2011"
"88","FR14T100","Prunus avium","0.86","Sweet_cherry_CRS_phenotyping_2012"
"89","FR21T040","Prunus avium","0.49","Sweet_cherry_CRS_phenotyping_2012"
"90","FR23T097","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2012"
"91","FR27T018","Prunus avium","1.05","Sweet_cherry_CRS_phenotyping_2012"
"92","FR28T001","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2012"
"93","FR28T100","Prunus avium","1.16","Sweet_cherry_CRS_phenotyping_2012"
"94","FR28T102","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"95","FR28T104","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"96","FR28T105","Prunus avium","0.97","Sweet_cherry_CRS_phenotyping_2012"
"97","FR28T106","Prunus avium","1.12","Sweet_cherry_CRS_phenotyping_2012"
"98","FR28T107","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2012"
"99","FR28T108","Prunus avium","0.86","Sweet_cherry_CRS_phenotyping_2011"
"100","FR28T108","Prunus avium","1.06","Sweet_cherry_CRS_phenotyping_2012"
"101","FR29T074","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"102","FR29T075","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2012"
"103","FR29T076","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"104","FR29T077","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
