"label","genotype","blooming_group","allman_gulrod","almore","burlat","frogmore_early","gaardebo","grosse_schwarze_knorpel","guigne_dannonay","heidi","knauffs_schwarze","lapins","merton_glory","merton_premier","sweetheart","van"
"Van","S1S3",2,"B++","B++","B++","0","B++","B++","A+","0","A+","B++","A++","B++","B++","0"
"Sweetheart*","S3S4'",2,"B++","A++","B++","B++","B++","B++","A+","B++","A+","A++","A++","B++","B++","B++"
"Burlat","S3S9",2,"B++","A++","0","B++","B++","B++","A+","B++","A+","A++","A++","B++","B++","B++"
"Lapins*","S1S4'",2,"A++","B++","A++","B++","A++","A++","A+","B++","A+","B++","A++","A++","A++","B++"
"Merton Glory","S4S6",2,"A++","B++","A++","A++","B++","A++","A+","0","B+","A++","0","A++","A++","A++"
"Allmän Gulröd","S2S3",2,"0","A++","B++","B++","B++","B++","B+","B++","B+","A++","A++","0","B++","B++"
"Almore","S1S6",2,"A++","0","A++","B++","B++","A++","A+","B++","B+","B++","B++","A++","A++","B++"
"Annonay","S2S7",1,"B+","A+","A+","A+","A+","A+","0","A+","B++","A+","A+","B+","A+","A+"
"Frogmore Early","S1S3",2,"B++","B++","B++","0","B++","B++","A+","0","A+","B++","A++","B++","B++","0"
"Gårdebo","S3S6",2,"B++","B++","B++","B++","0","B++","A+","B++","B+","A++","B++","B++","B++","B++"
"Heidi","S1S3/S4S6",2,"B++","0","B++","0","0","B++","A+","0","B+","B++","0","B++","B++","0"
"Knauffs","S2S6",1,"B+","B+","A+","A+","B+","A+","B++","B+","0","A+","B+","B+","A+","A+"
"Merton Premier","S2S3",2,"0","A++","B++","B++","B++","B++","B+","B++","B+","A++","A++","0","B++","B++"
"Große Schwarze","S3S5",2,"B++","A++","B++","B++","B++","0","A+","B++","A+","A++","A++","B++","B++","B++"
