"label","genotype","blooming_group","allman_gulrod","almore","burlat","buttners_spate_rote_knorpelkirsche","frogmore_early","gaardebo","grosse_schwarze_knorpel","heidi","lapins","margit","merton_glory","merton_premier","stella","sweetheart","van","victor"
"Van","S1S3",2,"B++","B++","B++","B+","0","B++","B++","0","B++","A++","A++","B++","B+","B++","0","B+"
"Sweetheart*","S3S4'",2,"B++","A++","B++","B+","B++","B++","B++","B++","A++","A++","A++","B++","B+","B++","B++","B+"
"Burlat","S3S9",2,"B++","A++","0","B+","B++","B++","B++","B++","A++","A++","A++","B++","B+","B++","B++","B+"
"Lapins*","S1S4'",2,"A++","B++","A++","A+","B++","A++","A++","B++","B++","A++","A++","A++","A+","A++","B++","A+"
"Stella*","S3S4'",3,"B+","A+","B+","B++","B+","B+","B+","B+","A+","A+","A+","B+","B++","B+","B+","B++"
"Margit","S4S12",2,"A++","A++","A++","B+","A++","A++","A++","B++","A++","0","B++","A++","A+","A++","A++","A+"
"Merton Glory","S4S6",2,"A++","B++","A++","B+","A++","B++","A++","0","A++","B++","0","A++","A+","A++","A++","A+"
"Allmän Gulröd","S2S3",2,"0","A++","B++","B+","B++","B++","B++","B++","A++","A++","A++","0","B+","B++","B++","0"
"Almore","S1S6",2,"A++","0","A++","A+","B++","B++","A++","B++","B++","A++","B++","A++","A+","A++","B++","A+"
"Büttners Rote","S3S4",3,"B+","A+","B+","0","B+","B+","B+","B+","A+","B+","B+","B+","B++","B+","B+","B++"
"Frogmore Early","S1S3",2,"B++","B++","B++","B+","0","B++","B++","0","B++","A++","A++","B++","B+","B++","0","B+"
"Gårdebo","S3S6",2,"B++","B++","B++","B+","B++","0","B++","B++","A++","A++","B++","B++","B+","B++","B++","B+"
"Heidi","S1S3/S4S6",2,"B++","0","B++","0","0","0","B++","0","B++","B++","0","B++","B+","B++","0","B+"
"Merton Premier","S2S3",2,"0","A++","B++","B+","B++","B++","B++","B++","A++","A++","A++","0","B+","B++","B++","0"
"Große Schwarze","S3S5",2,"B++","A++","B++","B+","B++","B++","0","B++","A++","A++","A++","B++","B+","B++","B++","B+"
"Victor","S2S3",3,"0","A+","B+","B++","B+","B+","B+","B+","A+","A+","A+","0","B++","B+","B+","0"
