"bt1","bt2","bt3","bt4","bt5","bt6"
"Goodnestone Black
Nutberry Black
Merchant
Newstar (SF)","Goodnestone Black
Nutberry Black
Merchant
Newstar (SF)","Black Oliver
Bullock’s Heart
Hertford
Celeste (SF)
Santina (SF)
Sandra Rose (SF)
Sonata (SF)
Sweetheart (SF)
Summer Sun (Semi SF)","Merla
Smoky Dun
Stella (SF)
Skeena (SF)
Sunburst (SF)","Florence
Smoky Heart","-"
"Early Rivers
Mercat","Bedford Prolific
Circassian
Knight’s Early Black
Black Tartarian A","Roundel
Tillingon Black","Black Downton
Ronald’s Heart
Summit","-","-"
"Windsor
Samba","Bigarreau de Schrecken
Waterloo
Merton Favourite","Frogmore Early
Merton Bigarreau
Merton Bounty
Van
Regina","Belle Agathe
Merton Crane
Cristalina","Victoria Black A
Black Elton","-"
"-","Bigarreau de Mezel","Merton Marvel
C17-5","Emperor Francis
Napoleon Bigarreau
Ohio Beauty","-","-"
"-","-","Merton Premier
Vega","Kent Bigarreau (Amber)","West Midlands Bigarreau","-"
"-","Turkey Heart","-","-","Little Black Bigarreau","-"
"Werders E Black","Merton Heart","Early Amber
Governor Wood
Elton Heart
Kordia","-","-","-"
"-","-","Bigarreau de Mezel","-","Bigarreau Gaucher Hooker’s Black","Bradbourne Black
Geante de Hedelfinge"
"-","-","Peggy Rivers ","-","-","-"
"Red Turk","Symphony","Rainier
Sylvia","Merton Reward","Merton Late","-"
"Ramon Oliva","Biggareau Jaboulay","Penny
C18-28","-","-","-"
"Guigne d'Annonay","-","-","-","-","-"
"-","-","-","-","Caroon A","Noble"
"Noir de Guben","-","-","-","-","-"
"-","-","-","-","Colney","-"
"-","-","Zoe (C18-19)","-","-","-"
