"var","start","full","petal_fall","duration","n_years_observed"
"knauffs_schwarze",2,10,16,14,15
"burlat",5,10,19,14,6
"lapins",6,10,19,13,10
"buttners_spate_rote_knorpelkirsche",6,11,20,14,10
"stella",7,11,20,13,20
"merton_glory",7,11,21,14,15
"van",7,12,20,13,15
"rainier",7,12,20,13,15
"merton_late",7,12,22,15,15
"victor",7,13,20,13,10
"almore",8,11,20,12,5
"gaardebo",8,12,23,15,5
"hedelfinger",8,14,22,14,5
"doenissns_gelbe",8,14,23,15,5
"sunburst",8,14,22,12,10
"schneiders_spate_knorpelkirsche",9,14,22,13,15
"regina",9,14,23,14,5
"sam",10,15,22,12,15
"frogmore_early",10,16,24,14,5
