"label","genotype","blooming_group","allman_gulrod","almore","burlat","buttners_spate_rote_knorpelkirsche","donissens_gelbe_knorpel","frogmore_early","fryksaas","gaardebo","grosse_schwarze_knorpel","guigne_dannonay","hedelfinger","heidi","knauffs_schwarze","kordia","lapins","linda","margit","merton_glory","merton_late","merton_premier","napoleon","regina","sam","stella","sunburst","sweetheart","sylvia","ulster","van","victor"
"Van","S1S3",3,"B+","B++","B+","B++","B+","0","A+","B++","B+","A-","B+","0","A-","B+","B+","B+","A+","A+","B+","B+","B+","0","A-","B++","B+","B+","B+","B+","0","B++"
"Regina","S1S3",5,"B---","B-","B---","B-","B+","0","A+","B-","B---","A---","B+","0","A","B+","B---","B+","A---","A---","B+","B---","B+","0","A++","B-","B+","B---","B+","B+","0","B-"
"Sweetheart*","S3S4'",2,"B++","A+","B++","B+","B-","B-","A-","B+","B++","A+","B-","B++","A+","B-","A++","B-","A++","A++","A-","B++","B-","B---","A---","B+","B-","B++","A-","B-","B+","B+"
"Napoleon","S3S4",4,"B-","A+","B-","0","B++","B++","A++","B+","B-","A---","B++","B-","A---","B++","A-","B++","B-","B-","B++","B-","0","B+","B+","B+","B++","B-","B++","0","B+","B+"
"Ulster","S3S4",4,"B-","A+","B-","0","B++","B++","A++","B+","B-","A---","B++","B-","A---","B++","A-","B++","B-","B-","B++","B-","0","B+","B+","B+","B++","B-","B++","0","B+","B+"
"Kordia","S3S6",4,"B-","B+","B-","B+","0","B++","B++","0","B-","A---","B++","B-","B---","0","A-","B++","A-","B-","A++","B-","B++","B+","A+","B+","B++","B-","A++","B++","B+","B+"
"Hedelfinger","S3S5",4,"B-","A+","B-","B+","B++","B++","A++","B+","0","A---","0","B-","A---","B++","A-","B++","A-","A-","A++","B-","B++","B+","A+","B+","B++","B-","A++","B++","B+","B+"
"Sylvia","S1S4",4,"A-","B+","A-","B+","A++","B++","A++","A+","A-","A---","A++","B-","A---","A++","B-","A++","B-","B-","0","A-","B++","B+","B+","A+","A++","A-","0","B++","B+","A+"
"Sam","S2S4",5,"B---","A-","A---","B-","A+","A+","B+","A-","A---","B---","A+","B---","B---","A+","A---","A+","B---","B---","B+","B---","B+","A++","0","A-","A+","A---","B+","B+","A-","B-"
"Burlat","S3S9",2,"B++","A+","0","B+","B-","B-","A-","B+","B++","A+","B-","B++","A+","B-","A++","B-","A++","A++","A-","B++","B-","B---","A---","B+","B-","B++","A-","B-","B+","B+"
"Lapins*","S1S4'",2,"A++","B+","A++","A+","A-","B-","A-","A+","A++","A+","A-","B++","A+","A-","B++","A-","A++","A++","B-","A++","A-","B---","A---","A+","A-","A++","B-","A-","B+","A+"
"Stella*","S3S4'",3,"B+","A++","B+","B++","B+","B+","A+","B++","B+","A-","B+","B+","A-","B+","A+","B+","A+","A+","A+","B+","B+","B-","A-","B++","B+","B+","A+","B+","B++","B++"
"Sunburst*","S3S4'",4,"B-","A+","B-","B+","B++","B++","A++","B+","B-","A---","B++","B-","A---","B++","A-","B++","A-","A-","A++","B-","B++","B+","A+","B+","B++","B-","A++","B++","B+","B+"
"Linda","S3S12",4,"B-","A+","B-","B+","B++","B++","A++","B+","B-","A---","B++","B-","A---","B++","A-","0","B-","A-","A++","B-","B++","B+","A+","B+","B++","B-","A++","B++","B+","B+"
"Margit","S4S12",2,"A++","A+","A++","B+","A-","A-","A-","A+","A++","A+","A-","B++","A+","A-","A++","B-","0","B++","B-","A++","B-","A---","B---","A+","A-","A++","B-","B-","A+","A+"
"Merton Glory","S4S6",2,"A++","B+","A++","B+","B-","A-","B-","B+","A++","A+","A-","0","B+","B-","A++","A-","B++","0","B-","A++","B-","A---","B---","A+","A-","A++","B-","B-","A+","A+"
"Allmän Gulröd","S2S3",2,"0","A+","B++","B+","B-","B-","B-","B+","B++","B+","B-","B++","B+","B-","A++","B-","A++","A++","A-","0","B-","B---","B---","B+","B-","B++","A-","B-","B+","0"
"Almore","S1S6",3,"A+","0","A+","A++","B+","B+","B+","B++","A+","A-","A+","B+","B-","B+","B+","A+","A+","B+","B+","A+","A+","B-","A-","A++","A+","A+","B+","A+","B++","A++"
"Annonay","S2S7",1,"B+","A-","A+","A-","A---","A---","B---","A-","A+","0","A---","A+","B++","A---","A+","A---","A+","A+","A---","B+","A---","A---","B---","A-","A---","A+","A---","A---","A-","B-"
"Büttners Rote","S3S4",3,"B+","A++","B+","0","B+","B+","A+","B++","B+","A-","B+","B+","A-","B+","A+","B+","B+","B+","B+","B+","0","B-","B-","B++","B+","B+","B+","0","B++","B++"
"Dönissens Gelbe","S3S6",4,"B-","B+","B-","B+","0","B++","B++","0","B-","A---","B++","B-","B---","0","A-","B++","A-","B-","A++","B-","B++","B+","A+","B+","B++","B-","A++","B++","B+","B+"
"Frogmore Early","S1S3",4,"B-","B+","B-","B+","B++","0","A++","B+","B-","A---","B++","0","A---","B++","B-","B++","A-","A-","B++","B-","B++","0","A+","B+","B++","B-","B++","B++","0","B+"
"Fryksås","S2S6",4,"B-","B+","A-","A+","B++","A++","0","B+","A-","B---","A++","B-","0","B++","A-","A++","A-","B-","A++","B-","A++","A+","B+","A+","A++","A-","A++","A++","A+","B+"
