"Incompatibility groups - Sweet cherry, Prunus avium ",,,,
sorted according Incomp.-groups,,,sorted according S-alleles,
Incompatibility group,S-allele,,Incompatibility group,S-allele
I,S1 S2,,I,S1 S2
II,S1 S3,,II,S1 S3
III,S3 S4,,IX,S1 S4
IV,S2 S3,,XIV,S1 S5
V,S4 S5,,XX,S1 S6
VI,S3 S6,,XXVIII,S1 S7
VII,S3 S5,,XVIII,S1 S9
VIII,S2 S5,,XXXII,S1 S12
IX,S1 S4,,LI,S1 S13
X,S6 S9,,XXXIII,S1 S14
XI,S2 S7,,IV,S2 S3
XII,S6 S13,,XIII,S2 S4
XIII,S2 S4,,VIII,S2 S5
XIV,S1 S5,,XXV,S2 S6
XV,S5 S6,,XI,S2 S7
XVI,S3 S9,,XLIII,S2 S9
XVII,S4 S6,,XLII,S2 S10
XVIII,S1 S9,,LXIII,S2S13
XIX,S3 S13,,LXI,S2S16
XX,S1 S6,,LIII,S2 S18
XXI,S4 S9,,III,S3 S4
XXII,S3 S12,,VII,S3 S5
XXIII,S3 S16,,VI,S3 S6
XXIV,S6 S12,,XLIV,S3 S7
XXV,S2 S6,,XVI,S3 S9
XXVI,S5 S13,,XLIX,S3 S10
XXVII,S4 S12,,XXII,S3 S12
XXVIII,S1 S7,,XIX,S3 S13
XXIX,S4 S7,,XXXIV,S3 S14
XXX,S6 S7,,XXIII,S3 S16
XXXI,S4 S14,,LVI,S3S21
XXXII,S1 S12,,XXXVIII,S3 S22
XXXIII,S1 S14,,XLVI,S3 S24
XXXIV,S3 S14,,V,S4 S5
XXXV,S5 S14,,XVII,S4 S6
XXXVI,S7 S19,,XXIX,S4 S7
XXXVII,S5 S9,,XXI,S4 S9
XXXVIII,S3 S22,,XXVII,S4 S12
XXXIX,S6 S16,,XLV,S4 S13
XL,S6 S22,,XXXI,S4 S14
XLI,S12 S22,,XV,S5 S6
XLII,S2 S10,,XXXVII,S5 S9
XLIII,S2 S9,,XXVI,S5 S13
XLIV,S3 S7,,XXXV,S5 S14
XLV,S4 S13,,XXX,S6 S7
XLVI,S3 S24,,X,S6 S9
XLVII,S6 S24,,XLVIII,S6 S10
XLVIII,S6 S10,,XXIV,S6 S12
XLIX,S3 S10,,XII,S6 S13
L,S6 S14,,L,S6 S14
LI,S1 S13,,XXXIX,S6 S16
LII,S16 S22,,XL,S6 S22
LIII,S2 S18,,XLVII,S6 S24
LIV,S21 S22,,LVII,S7S14
LV,S9 S13,,XXXVI,S7 S19
LVI,S3S21,,LV,S9 S13
LVII,S7S14,,LIX,S12S16
LVIII,S13S22,,XLI,S12 S22
LIX,S12S16,,LX,S13S16
LX,S13S16,,LVIII,S13S22
LXI,S2S16,,LXII,S14S16
LXII,S14S16,,LII,S16 S22
LXIII,S2S13,,LIV,S21 S22
