"variety","anfic_missing","pollination_aggr","pollination_test","fertility_gf","pollination_group_gf","pollination_group_primrose","pollination_group_ashridge","harvest"
"KORDIA",,4,4,"Self-fertile",4,4,5,"mid"
"MORELLO",1,4,4,"Self-fertile",4,4,6,"late"
"LAPINS",,"2 to 3",2,"Self-fertile","2 to 3",2,4,"mid"
"SKEENA",,4,4,"Self-fertile",4,3,4,"late"
"STELLA",,4,4,"Self-fertile",4,4,4,"late"
"SUMMER SUN",1,"3 to 4",3.5,"Self-fertile","3 to 4",3,4,"late"
"SUNBURST",,4,4,"Self-fertile",4,4,4,"late"
"SWEETHEART",,"3 to 4",4,"Self-fertile","3 to 4",3,4,"very_late"
"SYLVIA",,3,4,"Self-fertile","3 to 4",3,,"mid"
"NAPOLEON",1,"4 to 5",4.5,"Self-sterile","4 to 5 ",5,4,"late"
"COLNEY",1,4,4,"Self-sterile","3 to 4",4,4,"late"
"EARLY RIVERS",1,1,1,"Self-sterile",1,,1,"early"
"KNIGHTS EARLY BLACK",1,"2 to 3",2.5,"Self-sterile","2 to 3",,2,"mid"
"MERTON BIGARREAU",1,3,3,"Self-sterile",3,,3,"mid"
"MERTON GLORY",1,2,2,"Self-sterile",2,,2,"mid"
"PENNY",1,"3 to 4",3.5,"Self-sterile","3 to 4",3,4,"late"
"VAN",,3,3,"Self-sterile",3,3,3,"late"
"PETIT NOIR",1,3,3,"Self-fertile",,3,3,"mid"
"AMBER HEART",1,3,3,,,,3,"early"
"CELESTE",,2,2,"Self-fertile",,2,2,"early"
"HARTLAND",,2,2,"Self-fertile",,2,,
"BURLAT",,2,2,"Self-sterile",,2,,
"MAY DUKE",1,3,3,"Self-fertile",,3,,
"MERCHANT",,3,3,,,3,,
"SASHA",1,4,4,"Self-fertile",,4,,
"STARDUST COVEU",,4,4,"Self-fertile",,4,,
"KARINA",1,4,4,"Self-sterile",,4,,
"REGINA",,4,4,"Self-sterile",,4,,
"SASHA",1,4,4,"Self-sterile",,4,,
"NABELLA",,5,5,"Self-fertile",,5,,
