var,pollinated_by_rangedala
almore,"merton_glory, merton_premier, stor_svart"
allm_gulrod,"buttners_rote, hedelfinger, merton_glory, stor_svart, sam, van, stora_klarbar"
buttners_rote,"allm_gulrod, hedelfinger, merton_glory, merton_premier, stella, van"
fryksas,sjalvfertil
gardebo,"allm_gulrod, skuggmorell"
hedelfinger,"allm_gulrod, buttners_rote, merton_glory, merton_premier, sam, van"
heidi,merton_glory
lapins,sjalvfertil
merton_glory,"allm_gulrod, buttners_rote, hedelfinger, sam, stella, stor_svart, van"
merton_premier,"buttners_rote, hedelfinger, merton_glory, van"
sam,"allm_gulrod, buttners_rote, hedelfinger, merton_glory, stella"
stella,"buttners_rote, merton_glory, sam, sjalvfertil, van"
stor_svart,merton_glory
sunburst,sjalvfertil
van,"allm_gulrod, buttners_rote, hedelfinger, merton_glory, merton_premier, sam, stella"
victor,"allm_gulrod, merton_glory"
