"var","Blomning","Sort","label_aka","nr","Typ","Zon","zone_extended","zone_from","zone_to","intresse","Eplanta","available","Sylt","disease_resistance","cracking_resistance","Storlek","maturity","kv","Mognad","Sötma","Syra","juicy","Fasthet","Kött","Färg","aroma","God","smak","sylt.1","V30","prominent_features","ursprung","note"
"allman_gulrod",2,"Allmän gulröd bigarrå","Gemeine Marmorkirsche",1,"Söt",3,"NA","1","3","1","Nej",1,"Ja",NA,NA,"Stor","ultimo_jul","","Mitten","Hög","Medel",3,"Fast","Gult","Gulrött",NA,"Ja!","mycket stora söta gula bigarråer med röd täckfärg. både för färskkonsumtion och konservering","NA",NA,"Starkväxande. Angrips lätta av gummiflöde.","Spanien?",""
"almore",2,"Almore","",2,"Söt",3,"4","1","3","NA","Nej",1,NA,NA,NA,NA,"medio_jul","","Tidig","Hög",NA,3,"Mjuk","Röd mörk","Rött mörkt",3,"Ja","Köttet är löst och saftigt. Smaken beskrivs som söt och saftig, ett gott dessertbär. ","NA",NA,"En av de tidigaste sörkörsbären","Balsgård",""
"guigne_dannonay",1,"Annonay","",3,"Söt",3,"NA","1","3","NA","Nej",1,NA,NA,NA,NA,"primo_jul","","Tidig","Hög","Låg",3,"Mjuk","Röd","Rött",3,"Ja!","mellanstora röda, lite flammiga körsbär med löst kött och saftig god söt smak med låg syra","NA",NA,"Mognar tidigt","Frankrike",""
"berit",NA,"Berit","",4,"Sur",4,"5","1","4","NA","Nej",1,"Ja",NA,NA,NA,"aug_sept","","Sen","Medel","Medel",3,NA,"Röd","Rött",NA,NA,"Sötsyrlig ","NA",NA,"Buskkörsbär. Det sötaste av dessa.","Europa",""
"buttners_spate_rote_knorpelkirsche",3,"Büttners Rote","Heinrich Riesen, Altenburger Melonenkische",5,"Söt",3,"NA","1","3","1","Ja",1,NA,NA,NA,NA,"jul_aug","6","Mitten","Hög","Låg",3,"Fast","Gulvitt","Gulrött",NA,NA,"Ger fasta, ljusgula saftiga bär med röd täckfärg och gulvitt kött. Smaken är söt med låg syra. Fast, sött och saftigt fruktkött med liten syra. Medelstora hjärtlika, ljusgula frukter med flammig klarröd täckfärg.","NA",NA,"Riklig och tidig skörd","Tyskland","Ett kraftigt växande träd med upprätt växt och stor, tät krona"
"erianne",NA,"Erianne","",6,"Söt",4,"NA","1","3","NA","Nej",1,"Kanske",NA,NA,"Stor","jul_aug","","Mitten","Hög","Medel",3,"Mjuk","","Rött",2,"Ja","stora, söta och saftiga röda (lite vagt utsträckta) bär med löst kött. smaken beskrivs som söt med lite syra men medelmåttig arom","NA",NA,"Från Gränna","Sverige",""
"fanal",NA,"Fanal","Heimans konserv",7,"Sur",4,"NA","1","3","NA","Ja",1,"Ja",2,NA,"Medel","aug","6-8","Sen","Låg","Hög",3,NA,"Röd mörk","Rött mörkt",NA,"Ja","","1",NA,"Något mer syrlig än Skuggmorell.","",""
"frogmore_early",2,"Frogmore","",8,"Söt",3,"NA","1","3","1","Nej",1,NA,NA,NA,"Medel","jul_aug","","Mitten","Hög",NA,3,"Mjuk","Gulvitt","Gulrött",NA,"Ja","Köttet är gult, löst och saftigt med fin smak.","NA",NA,"","England",""
"fryksaas",4,"Fryksås","",9,"Söt",4,"5","1","4","NA","Nej",1,"Ja",NA,NA,"Liten","jul_aug","","Mitten","Medel","Medel",3,"Mjuk","","Gulrött",NA,"Ja!","söt smak och bra härdighet","NA",NA,"Kraftigväxande. Ett av de härdigaste sötkörsbären.","Sverige","Passar bra till sylt, saft och marmelad. Självfertil. Bäst skörd i soligt läge."
"gaardebo",2,"Gårdebo","",10,"Söt",4,"5","1","4","1","Ja",1,NA,NA,NA,NA,"ultimo_jul","","Mitten","Hög",NA,3,"Mjuk","Röd","Rött",NA,NA,"ljusröda bigarråer med sött och saftigt löst fruktkött . Köttet är löst, sött och saftigt. Små till medelstora mörkröda bär. Kärnan lossar lätt från köttet.","NA",NA,"","Sverige",""
