"var","label","syn","syn_note"
"allman_gulrod","Allmän gulröd bigarrå","Gemeine Marmorkirsche, Allmän Gulröd",""
"almore","Almore","Almore",""
"guigne_dannonay","Annonay","Guinge la Plus Hative, Annonayer Herzkirsche, Guigne d'Annonay","Enligt vissa källor är Annonay (med ursprung I England, syn. Annonayer Herzkirsche) och Guigne d'Annonay (med ursprung I Frankrike, syn. Guinge la Plus Hative) olika sorter."
"berit","Berit",NA,""
"buttners_spate_rote_knorpelkirsche","Büttners Rote","Büttners Späte Rote Knorpelkirsche, Altenburger Melonen-kirsche, Heinrich Riesen, Altenburger Melonenkische, Heinrichs Riesen",""
"erianne","Erianne","Erianne",""
"fanal","Fanal",NA,""
"frogmore_early","Frogmore","Frogmore Bigarreau, Frogmore Early",""
"fryksaas","Fryksås","Fryksås",""
"gaardebo","Gårdebo","Gårdebo",""
"hedelfinger","Hedelfinger","Hedelfinger Riesenkirsche, Hedelfingen",""
"heidi","Heidi","Heidi",""
"kelleris","Kelleris 16",NA,""
"kirsa","Kirsa",NA,""
"knauffs_schwarze","Knauffs Kirsche","Knauffs Riesenkirsche, Knauffs Schwarze",""
"lapins","Lapins","Lapins",""
"merton_glory","Merton Glory","Merton Glory",""
"merton_premier","Merton Premier","Merton Premier",""
"napoleon","Napoleon","Royal Ann, Oxheart, Royal Ann, Oxheart, Napoleon","Sorter som också kan vara synonyma med Napoleon (och har samma haplotyp) är Furticchiara, Limone, Napoleon, Sardinia I, Große Prinzessin, Groote Prinzess, Napoleon, Lauermanns Kirsche ."
"nordia","Nordia",NA,""
"ostheimer","Ostheimer",NA,""
"sam","Sam","Sam",""
"skuggmorell","Skuggmorell","Schattenmorelle, Große Lange Lotkirsche, Nordkirsche, Łutówka, Griotte de Nord, Chatel Morel, English Morello, Schwarze Kirsche von Montreux, Späte Morelle, Skuggmorell",""
"stella","Stella","Stella",""
"grosse_schwarze_knorpel","Stor svart bigarrå","Grosse Schwarze Knorpelkirsche, Große Schwarze Knorpel",""
"stora_klarbar","Stora klarbär",NA,""
"sunburst","Sunburst","Sunburst",""
"triaux","Triaux",NA,""
"tschernokorka","Tschernokorka","Tschernokorka",""
"van","Van","Van",""
"donissens_gelbe_knorpel","Dönissen","Dönissens Gelbe Knorpelkirsche, Dönissens Gelbe Knorpel",""
"kordia","Kordia","Techlovicka II, Attika®, Kordia",""
"regina","Regina","Regina",""
"victor","Victor","Viktor, Victor",""
"allm_klarbar","Allmänt klarbär",NA,""
"lettisk_lag","Lettisk låg",NA,""
"schneiders_spate_knorpelkirsche","Schneiders Späte Knorpel","Kozerska, Haumüller, Germersdorfer, Höfchenkirsche, Kaukasische, Nürtinger Riesenkirsche","Kallas ibland även Kaiser Franz. I genetiska data finns körsbär benämnda så, men de har andra S-haplotyper. Ibland även syn. Ferrovia, som har samma haplotyp."
"rainier","Rainier","Rainier",""
"burlat","Burlat","Burlat",""
"linda","Linda","Linda",""
"margit","Margit","Margit",""
"sweetheart","Sweetheart","Sumtare, 13S-22-8, Sweetheart",""
"merton_late","Merton Late","Merton Late",""
"bowery_heart","Bowery Heart","Bowyer Early Heart, Bowery Heart",""
"ulster","Ulster","Ulster",""
"huldra","Huldra","Huldra",""
"black star","Black Star",NA,""
"sylvia","Sylvia","4C-17-31, Sylvia",""
"iput","Iput",NA,""
"meelika","Meelika","Meelika",""
"mermat","Mermat","Mermat",""
"merpet","Merpet","Merpet",""
