"var","bt_missing","bt_google_sv",,1,"tidig",
"allman_gulrod","TRUE","NA",,2,"medeltidig",
"almore","TRUE","NA",,3,"medel",
"guigne_dannonay","TRUE","NA",,4,"medelsen",
"berit","TRUE","NA",,5,"sen","mycket sen?"
"burlat","FALSE",1,,,,
"buttners_spate_rote_knorpelkirsche","TRUE",4,,,,
"donissens_gelbe_knorpel",,5,,,,
"erianne","TRUE","NA",,,,
"fanal","TRUE","NA",,,,
"frogmore_early","TRUE","NA",,,,
"fryksaas","TRUE","NA",,,,
"gaardebo","TRUE",2,,,,
"hedelfinger","FALSE","NA",,,,
"heidi","TRUE",2,,,,
"kelleris","TRUE","NA",,,,
"kirsa","TRUE","NA",,,,
"knauffs_schwarze","TRUE","NA",,,,
"lapins","FALSE",2,,,,
"linda",,2,,,,
"margit",,1.5,,,,
"merton_glory","FALSE","NA",,,,
"merton_premier","TRUE","NA",,,,
"nordia","TRUE","NA",,,,
"ostheimer","TRUE","NA",,,,
"regina",,5,,,,
"sam","FALSE",4,,,,
"skuggmorell","TRUE","NA",,,,
"stella","FALSE","NA",,,,
"grosse_schwarze_knorpel","TRUE","NA",,,,
"stora_klarbar","TRUE","NA",,,,
"sunburst","FALSE","NA",,,,
"triaux","TRUE","NA",,,,
"tschernokorka","TRUE","NA",,,,
"van","FALSE","NA",,,,
"donissens_gelbe_knorpel","TRUE","NA",,,,
"kordia","FALSE","NA",,,,
"regina","FALSE","NA",,,,
"victor","TRUE","NA",,,,
"allm_klarbar","TRUE","NA",,,,
"lettisk_lag","TRUE","NA",,,,
