Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
154860;Abelvattnet Aut;65.53;14.97;665;Nej
188800;Abisko;68.3538;18.8166;393.38;Nej
188790;Abisko Aut;68.3538;18.8164;392.303;Ja
158990;Abraur;65.9857;18.9195;368.079;Nej
85600;Adelsnäs;58.1998;15.9802;97;Nej
97280;Adelsö A;59.3579;17.5213;5.612;Ja
92480;Adolfsfors;59.8;12.2333;125;Nej
117330;Agö;61.55;17.4666;20;Nej
178740;Aktse;67.1498;18.3061;530;Nej
75040;Allgunnen;57.0666;15.9681;115;Nej
99090;Almagrundet A;59.1547;19.1298;3;Nej
134590;Almdalen;63.9967;14.6701;615;Nej
53640;Alnarp;55.65;13.0833;10;Nej
53390;Alnarp Fruktavdelning;55.6571;13.0923;10;Nej
178790;Aluokta;67.3094;18.9011;385;Nej
82000;Alvhem;58.0067;12.1454;5;Nej
73250;Ambjörnarp;57.4166;13.2833;220;Nej
156990;Ammarnäs;65.9744;16.2283;440;Nej
74600;Aneboda 2;57.1167;14.5639;195;Nej
74510;Aneby;57.8232;14.8913;240;Nej
144530;Ankarvattnet;64.8666;14.25;460;Nej
95230;Arboga;59.3833;15.8333;50;Nej
167710;Arjeplog A;66.0513;17.8396;430.839;Ja
97390;Arlanda;59.66;17.9208;26;Nej
53770;Arlöv sockerbruk;55.6333;13.0667;3;Nej
159880;Arvidsjaur A;65.5941;19.2642;382.45;Ja
92400;Arvika;59.6658;12.591;77;Nej
92410;Arvika A;59.6743;12.6354;65.758;Ja
97630;Aske;59.6166;17.65;15;Nej
84660;Askersund;58.88;14.9;100;Nej
94370;Asphyttan;59.6112;14.1859;130;Nej
106070;Avesta;60.1413;16.1715;99.043;Ja
84340;Axstål;58.571;14.557;88.5;Ja
105550;Backa;60.923;15.1145;230;Nej
139570;Balsjö;63.925;19.0611;195;Nej
97260;Barkarby;59.4166;17.8833;17;Nej
82540;Bastorp;58.904;12.038;150;Nej
97190;Beckomberga;59.3658;17.8974;15;Nej
125470;Bensjö;62.7139;15.4667;310;Nej
74080;Berg;57.1208;14.6906;243.272;Nej
98040;Berga;59.068;18.115;4.3;Ja
98610;Berga;59.0833;18.1166;15;Nej
96610;Bie;59.083;16.2135;21;Nej
136020;Bispgården;63.0509;16.5358;190;Nej
106080;Bjurfors;60.1316;16.1282;125;Nej
116650;Bjuråker;61.85;16.5833;66;Nej
151290;Bjuröklubb;64.4806;21.5787;36;Nej
151280;Bjuröklubb A;64.4799;21.5754;35.41;Ja
85160;Bjärka-Säby;58.2662;15.7431;100;Nej
53650;Björka;55.7;13.6333;32;Nej
142030;Björkede;64.0432;12.9414;451;Nej
163680;Björkfors;65.9166;23.4666;10;Nej
107040;Björklinge;60.0514;17.5667;31;Nej
178820;Björkudden;67.3936;18.7131;380.481;Ja
83640;Björnegården;58.5166;13.0666;75;Nej
155710;Blaikliden;65.0464;15.7486;520;Nej
75140;Blankaström;57.2166;15.9166;80;Nej
92170;Blomskog;59.2891;12.0542;110;Nej
92130;Blomskog A;59.2213;12.0754;169.645;Ja
132110;Blåhammaren A;63.1854;12.1734;1086.952;Ja
78050;Bobbenarve;57.0333;18.2833;8;Nej
161940;Boden;65.814;21.635;25.2;Ja
170630;Bodträskfors;66.0792;20.925;30;Nej
155900;Boksjö;65.6772;15.8245;475;Nej
72400;Bollebygd;57.661;12.5521;65;Nej
54300;Bollerup;55.4926;14.0395;57.568;Nej
83170;Borgunda;58.288;13.7995;181;Nej
105310;Borlänge;60.502;15.4606;120;Nej
105280;Borlänge Aut;60.4889;15.4324;140;Nej
105260;Borlänge Flygplats;60.4294;15.5079;152;Ja
72450;Borås;57.7607;12.9468;136;Ja
138270;Bredbyn;63.4608;18.0592;85;Nej
91130;Bredviken;59.2184;11.9858;100;Nej
96640;Broddbo;59.9829;16.4634;31;Nej
106040;Brovallen;60.0989;16.3026;100.154;Ja
92370;Brunsberg;59.6166;12.9833;70;Nej
127130;Brämön A;62.2198;17.739;18.13;Ja
161930;Brännbergs försöksgård;65.8;21.2666;88;Nej
145450;Brännåkersfjället V;64.7507;15.8307;630;Nej
82640;Brålanda;58.5666;12.3666;65;Nej
157870;Buresjön A;65.558;17.8554;394.05;Ja
78240;Buttle;57.4034;18.5297;45;Nej
133030;Bydalen V;63.044;13.8907;1000;Nej
150210;Bygdsiljum;64.35;20.5;131;Nej
84620;Bällefors;58.5833;14.1166;90;Nej
62600;Båstad;56.45;12.7974;9;Nej
136610;Bölestrand;63.1333;16.15;220;Nej
123460;Börtnan A;62.7548;13.8427;467.246;Ja
94390;Daglösen A;59.6612;14.1803;133.077;Ja
115630;Dalfors;61.2139;15.4083;236;Nej
160600;Dalliden;65.0157;20.3127;330;Nej
73430;Dalsjöfors;57.722;13.1238;257;Nej
115040;Dalstuga;61.0666;15.7;240;Nej
156850;Danasjö;65.5374;16.5393;652;Nej
107120;Dannemora;60.2026;17.9049;41;Nej
94140;Degerfors;59.2333;14.45;85;Nej
