"#","Germplasm","Species","pH","Dataset"
"1","Summit","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"2","Regina","Prunus avium","3.82","Sweet_cherry_CRS_phenotyping_2010"
"3","Ambrunes","Prunus avium","4.02","Sweet_cherry_CRS_phenotyping_2010"
"4","Lapins","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"5","Sweetheart","Prunus avium","3.82","Sweet_cherry_CRS_phenotyping_2010"
"6","Rainier","Prunus avium","3.99","Sweet_cherry_CRS_phenotyping_2010"
"7","Cashmere","Prunus avium","3.93","Sweet_cherry_CRS_phenotyping_2010"
"8","Chelan","Prunus avium","3.7","Sweet_cherry_CRS_phenotyping_2010"
"9","Cowiche","Prunus avium","3.71","Sweet_cherry_CRS_phenotyping_2010"
"10","Glacier","Prunus avium","3.98","Sweet_cherry_CRS_phenotyping_2010"
"11","Kiona","Prunus avium","3.89","Sweet_cherry_CRS_phenotyping_2010"
"12","PMR-1","Prunus avium","3.89","Sweet_cherry_CRS_phenotyping_2010"
"13","Tieton","Prunus avium","3.95","Sweet_cherry_CRS_phenotyping_2010"
"14","Olympus","Prunus avium","3.72","Sweet_cherry_CRS_phenotyping_2010"
"15","FR1T068","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"16","FR1T036","Prunus avium","3.94","Sweet_cherry_CRS_phenotyping_2010"
"17","FR1T074","Prunus avium","3.95","Sweet_cherry_CRS_phenotyping_2010"
"18","FR2T030","Prunus avium","3.84","Sweet_cherry_CRS_phenotyping_2010"
"19","FR3T070","Prunus avium","3.91","Sweet_cherry_CRS_phenotyping_2010"
"20","FR1T035","Prunus avium","3.85","Sweet_cherry_CRS_phenotyping_2010"
"21","FR1T066","Prunus avium","4.1","Sweet_cherry_CRS_phenotyping_2010"
"22","FR1T069","Prunus avium","4.05","Sweet_cherry_CRS_phenotyping_2010"
"23","FR2T058","Prunus avium","4.11","Sweet_cherry_CRS_phenotyping_2010"
"24","FR11T015","Prunus avium","4.33","Sweet_cherry_CRS_phenotyping_2010"
"25","FR11T018","Prunus avium","3.82","Sweet_cherry_CRS_phenotyping_2010"
"26","FR11T025","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2010"
"27","FR11T027","Prunus avium","4.13","Sweet_cherry_CRS_phenotyping_2010"
"28","FR11T028","Prunus avium","3.97","Sweet_cherry_CRS_phenotyping_2010"
"29","FR11T030","Prunus avium","3.57","Sweet_cherry_CRS_phenotyping_2010"
"30","FR11T031","Prunus avium","3.79","Sweet_cherry_CRS_phenotyping_2010"
"31","FR11T032","Prunus avium","4.23","Sweet_cherry_CRS_phenotyping_2010"
"32","FR12T077","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"33","FR1T029","Prunus avium","3.99","Sweet_cherry_CRS_phenotyping_2010"
"34","FR1T030","Prunus avium","4.29","Sweet_cherry_CRS_phenotyping_2010"
"35","FR1T031","Prunus avium","4.08","Sweet_cherry_CRS_phenotyping_2010"
"36","FR1T032","Prunus avium","4.07","Sweet_cherry_CRS_phenotyping_2010"
"37","FR1T033","Prunus avium","3.9","Sweet_cherry_CRS_phenotyping_2010"
"38","FR1T037","Prunus avium","3.84","Sweet_cherry_CRS_phenotyping_2010"
"39","FR1T038","Prunus avium","3.95","Sweet_cherry_CRS_phenotyping_2010"
"40","FR1T039","Prunus avium","3.72","Sweet_cherry_CRS_phenotyping_2010"
"41","FR1T040","Prunus avium","3.81","Sweet_cherry_CRS_phenotyping_2010"
"42","FR1T041","Prunus avium","3.92","Sweet_cherry_CRS_phenotyping_2010"
"43","FR1T042","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"44","FR1T054","Prunus avium","4.09","Sweet_cherry_CRS_phenotyping_2010"
"45","FR1T056","Prunus avium","4.16","Sweet_cherry_CRS_phenotyping_2010"
"46","FR1T065","Prunus avium","3.97","Sweet_cherry_CRS_phenotyping_2010"
"47","FR1T073","Prunus avium","3.91","Sweet_cherry_CRS_phenotyping_2010"
"48","FR2T035","Prunus avium","3.97","Sweet_cherry_CRS_phenotyping_2010"
"49","FR2T037","Prunus avium","3.92","Sweet_cherry_CRS_phenotyping_2010"
"50","FR2T038","Prunus avium","4.14","Sweet_cherry_CRS_phenotyping_2010"
"51","FR2T040","Prunus avium","4.1","Sweet_cherry_CRS_phenotyping_2010"
"52","FR2T045","Prunus avium","4.16","Sweet_cherry_CRS_phenotyping_2010"
"53","FR2T046","Prunus avium","4.14","Sweet_cherry_CRS_phenotyping_2010"
"54","FR2T049","Prunus avium","4.16","Sweet_cherry_CRS_phenotyping_2010"
"55","FR2T050","Prunus avium","4.23","Sweet_cherry_CRS_phenotyping_2010"
"56","FR2T054","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"57","FR2T057","Prunus avium","4.45","Sweet_cherry_CRS_phenotyping_2010"
"58","FR2T079","Prunus avium","4.14","Sweet_cherry_CRS_phenotyping_2010"
"59","FR2T080","Prunus avium","4.12","Sweet_cherry_CRS_phenotyping_2010"
"60","FR3T002","Prunus avium","3.99","Sweet_cherry_CRS_phenotyping_2010"
"61","FR3T004","Prunus avium","5.9","Sweet_cherry_CRS_phenotyping_2010"
"62","FR3T014","Prunus avium","5.05","Sweet_cherry_CRS_phenotyping_2010"
"63","FR3T016","Prunus avium","3.9","Sweet_cherry_CRS_phenotyping_2010"
"64","FR3T018","Prunus avium","4.53","Sweet_cherry_CRS_phenotyping_2010"
"65","FR3T020","Prunus avium","5.26","Sweet_cherry_CRS_phenotyping_2010"
"66","FR3T021","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"67","FR3T025","Prunus avium","4.03","Sweet_cherry_CRS_phenotyping_2010"
"68","FR3T029","Prunus avium","4.72","Sweet_cherry_CRS_phenotyping_2010"
"69","FR3T043","Prunus avium","3.97","Sweet_cherry_CRS_phenotyping_2010"
"70","FR3T050","Prunus avium","4.21","Sweet_cherry_CRS_phenotyping_2010"
"71","PC 9816-005","Prunus avium","4.06","Sweet_cherry_CRS_phenotyping_2010"
"72","PC 9816-023","Prunus avium","3.94","Sweet_cherry_CRS_phenotyping_2010"
