"label","stone_size","stone_relative_size","stone_shape","leaf_size","leaf_shape","petiole_length","petiole_relative_length","flowering"
"Annabella",5,5,5,5,5,7,7,5
"Altenburger Melonenkirsche",5,5,5,5,5,3,5,5
"Barbara",7,7,5,5,5,7,7,5
"Badacsoner",5,3,5,5,5,5,5,7
"Balsgård 20406",5,5,5,5,5,5,5,5
"Belvitsa",3,5,7,5,7,3,3,1
"Beta",3,5,7,5,5,7,7,5
"Bianca",5,5,7,3,5,7,7,7
"Black Giant",5,5,3,5,5,5,5,5
"Bleyhls Braune",3,5,5,3,5,3,5,5
"Boitzeburger",5,5,5,5,5,5,5,5
"Burbank",7,7,5,5,5,5,5,3
"Chinook",7,5,3,5,7,5,3,3
"Clark September",3,7,7,3,3,5,7,5
"Coes Transparente",5,7,3,5,5,5,5,5
"Drögsperyds Medeltidiga",5,5,5,5,3,5,5,7
"Drögsperyds Tidiga",3,5,5,5,5,5,5,5
"Esperen",5,5,5,5,5,5,5,5
"Flamentiner A",5,7,5,5,5,5,5,3
"Flamentiner B",3,5,5,3,5,5,5,7
"Fromms Schwarze Herz",5,5,5,3,5,5,5,7
"Frühe Meckenheimer",5,5,5,7,5,7,5,5
"Frühe von Dobitschen",5,5,3,5,5,5,5,5
"Greening",5,5,3,5,3,3,5,5
"Grosse Schwarze Herzk",5,3,3,5,5,5,5,5
"Hauschilds Frühe",5,7,5,5,5,5,5,5
"Hoskins",5,7,5,3,5,3,5,7
"Hudson",7,5,5,5,5,5,5,7
"Lamida",7,5,5,5,7,7,7,5
"Lucien",5,7,5,5,5,3,3,7
"Mahognibär",5,7,7,3,5,3,5,5
"Merton Late",3,5,5,3,5,3,5,5
"Moreau",7,5,5,5,5,7,5,5
"Posnanska",5,5,5,5,5,5,5,5
"Ranna Ljaskovska",3,5,5,5,5,5,5,5
"Rebekka",7,7,5,5,3,7,7,7
"Schauenburger",5,5,5,5,5,5,5,7
"Schneiders Späte",7,3,5,5,5,7,7,7
"Schrecken",7,7,5,5,5,7,5,"NA"
"Souvenir des Charmes",7,5,5,5,5,7,5,5
"Spitze Braune",5,5,7,5,5,5,5,5
"Sue",5,5,5,5,5,3,5,5
"Teichners Schwarze",5,5,5,5,7,5,5,5
"Valera",5,5,5,5,5,5,5,3
"Valeska",7,7,7,5,5,7,7,3
"Vega",5,3,5,7,5,7,7,5
"Velvet",5,5,5,5,5,3,5,5
"Wolska Wczesna",7,7,5,5,7,5,5,5
"Östads Röda",5,5,5,3,5,5,5,5
