"var","pollinated_by_plantagen"
"allman_gulrod","Hedelfinger,  Merton Glory,  Stor svart bigarrå"
"almore","Büttners Späte Rote, Hedelfinger, Merton Glory, Sam, Stor svart bigarrå, Van"
"guigne_dannonay",""
"berit",""
"buttners_spate_rote_knorpelkirsche","Allm. gulröd bigarrå, Almore, Hedelfinger, Merton Glory, Stella, Van"
"erianne",""
"fanal",""
"frogmore_early",""
"fryksaas","Självfertil"
"gaardebo","Självfertil samt Allm. gulröd bigarrå, Almore"
"hedelfinger","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Merton Glory, Sam, Van"
"heidi","Merton Glory, Stor svart bigarrå"
"kelleris",""
"kirsa",""
"knauffs_schwarze",""
"lapins","Självfertil"
"merton_glory","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Hedelfinger, Sam, Stella, Stor svart bigarrå, Van, Victor"
"merton_premier",""
"napoleon",""
"nordia",""
"ostheimer",""
"sam","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Hedelfinger, Heidi, Merton Glory, Stella, Stor svart bigarrå, Van"
"skuggmorell",""
"stella","Självfertil samt Büttners Späte Rote, Merton Glory, Sam, Van"
"grosse_schwarze_knorpel","Merton Glory"
"stora_klarbar",""
"sunburst","Självfertil"
"triaux",""
"tschernokorka",""
"van","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Hedelfinger, Merton Glory, Sam, Stella"
"donissens_gelbe_knorpel",""
"kordia",""
"regina","Büttners Späte Rote, Kordia, Lapins, Merton Glory, Sam, Stella, Van"
"victor","Almore, Büttners Späte Rote, Merton Glory, Stella, Van"
"allm_klarbar",""
"lettisk_lag",""
"schneiders_spate_knorpelkirsche",""
"rainier",""
"burlat",""
"linda",""
"margit",""
"sweetheart",""
"merton_late",""
