"var","numbers"
"allman_gulrod","3, 6, 7, 8, 12, 18"
"almore","12, 13, 17"
"guigne_dannonay","1, 8, 15"
"berit","4"
"buttners_spate_rote_knorpelkirsche","1, 7, 8, 10, 12, 13, 20, 17, 29, 23"
"erianne","1, 3, 7, 12, 13, 17, 18, 19"
"fanal","7"
"frogmore_early","1, 6, 13, 14, 17, 18, 19"
"fryksaas","sjalvfertil"
"gaardebo","sjalvfertil"
"hedelfinger","1, 3, 5, 6, 7, 12, 13, 20"
"heidi","12, 13, 17"
"kelleris","13"
"kirsa","14"
"knauffs_schwarze","1, 3, 5, 12, 20"
"lapins","16, 17, 23, 11"
"merton_glory","1, 3, 8"
"merton_premier","5, 8, 12, 20"
"nordia","19"
"ostheimer","6, 7, 16,17,18"
"sam","1, 2, 9, 10, 12, 17, 20"
"skuggmorell","22"
"stella","23"
"grosse_schwarze_knorpel","6, 12"
"stora_klarbar","25, 7, 14, 16, 18"
"sunburst","26"
"triaux","27"
"tschernokorka","28"
"van","1, 5, 6, 12, 13"
"donissens_gelbe_knorpel","5, 6, 8, 11"
"kordia","21, 23, 26, 29"
"allm_klarbar","sjalvfertil"
"lettisk_lag","36"
