"","Germplasm","Species","Dataset","Bloom_Days","TA","Fruit_Dim","Flesh_C","Spec_Flesh_Color_b","Spec_Flesh_Color_a","Bulked_Fruit_SSC","Pull_Force","Pit_Lh","Spec_Skin_Color_a","Skin_C_mahogany","Spec_Skin_Color_b","Spec_Skin_Color_L","Bulked_Fruit_Firmness","FreeStone","Perc_Cracking","Fruit_Wt","SSC","Perc_Pitting","Spec_Flesh_Color_L","Pit_Wt","Fruit_Wd2","Pit_Wd1","Harvest_Time","Stem_length","Foliar_PM","Bloom_Time","Fruit_L","Bulked_Fruit_Wt","Harvest_Days","Skin_C_blush","Firmness_1","pH","Fruit_Shape","Harvest_Date","Bloom_Date"
"1","23-01-47","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA
"2","23-02-46","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.03,NA,NA,NA,NA
"3","23-03-24","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.36,NA,NA,NA,NA
"4","23-03-28","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.08,NA,NA,NA,NA
"5","23-03-40","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.28,NA,NA,NA,NA
"6","23-05-17","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.88,NA,NA,NA,NA
"7","23-08-24","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.05,NA,NA,NA,NA
"8","23-08-45","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.7,NA,NA,NA,NA
"9","Ambrunes","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.78,-0.17,1.2,11.73,8.1,18,699.5,12.62,20.86,4.4,3.88,28.85,NA,3,24,8,19.57,4,28.4,0.71,24.65,11.53,1329,48.32,NA,NA,22.3,7.27,204,NA,313.2,4.02,NA,"7/24/2010",NA
"10","Ambrunes","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",105,NA,-0.6,1,NA,NA,18.2,666.9,12.22,NA,5,NA,NA,340,3,NA,7.6,17.25,4.76,NA,0.55,22.33,9.32,1098.94,45.79,3,160.83,22.44,6.92,202,NA,342.6,NA,5,"7/22/2011","4/16/2011"
"11","Ambrunes","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.67,0.03,1,NA,NA,NA,612.8,NA,NA,3.4,NA,NA,240.1,4,NA,7.39,18.4,NA,NA,0.54,25.25,10.3,1190.28,NA,4,192.19,22.71,NA,197,NA,311.1,NA,3,"7/16/2012","4/20/2012"
"12","Benton","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",106,NA,0.63,2,NA,NA,NA,963.6,12.25,NA,5.2,NA,NA,253.7,3.2,NA,11.45,17.57,NA,NA,0.52,27.32,9.3,725.42,45.3,3,161.72,23.62,11.12,176,NA,254.6,NA,3.2,"6/26/2011","4/17/2011"
"13","Benton","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",109,0.8,1.8,4,NA,NA,NA,858.6,12.27,NA,4.6,NA,NA,233.9,4,NA,11.74,22.08,NA,NA,0.53,29.93,10.09,862.47,NA,3,181.58,26.71,NA,177,NA,254.7,NA,2,"6/26/2012","4/19/2012"
"14","Bing","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.78,0.13,3,NA,NA,23.9,941.2,11.81,NA,5,NA,NA,305.5,5,11.76,10.37,22.95,NA,NA,0.5,25.03,9.3,774.19,51.2,3,155.08,23.37,10.25,179,NA,321.6,NA,3,"6/29/2011","4/15/2011"
"15","Bing","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",106,0.7,0.13,5,NA,NA,NA,926.9,11.22,NA,6,NA,NA,239.4,5,NA,9.89,23.94,NA,NA,0.42,25.42,9.59,906.81,NA,4,170.75,23.01,NA,180,NA,293,NA,3.2,"6/29/2012","4/16/2012"
"16","Black Republican","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",108,0.7,-2.49,4,NA,NA,17.5,770.9,10.19,NA,5.5,NA,NA,357.4,3.6,NA,4.43,22.2,7.69,NA,0.4,19.13,8.4,NA,38.39,3,163.61,16.53,4.65,NA,NA,235,NA,3,NA,"4/19/2011"
"17","Black Republican","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,0.61,-0.71,4,NA,NA,NA,680.2,10.19,NA,NA,NA,NA,299,4,NA,7.02,21.5,NA,NA,0.38,23.96,9.06,952.33,NA,3,172.72,20.42,NA,183,NA,287.6,NA,3.2,"7/2/2012","4/17/2012"
"18","Cashmere","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.65,0.3,5,-0.87,3.66,26.9,1106.4,12.36,11.43,5.4,0.35,27.73,NA,4,8,9.52,20.7,16,16.87,0.51,26.71,10.64,899.25,45.24,NA,NA,22.66,8.45,176,NA,252.5,3.93,NA,"6/26/2010",NA
"19","Cashmere","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",110,0.69,0.66,4.2,NA,NA,19,1142.1,11.48,NA,4.7,NA,NA,263.8,2.4,0,9.6,18,0,NA,0.4,27.18,9.65,704,51.66,3,167.06,23.88,9.81,174,NA,248.4,NA,2.4,"6/24/2011","4/21/2011"
"20","Cashmere","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.57,0.41,5,NA,NA,NA,817.8,11.02,NA,6.8,NA,NA,257.8,4,NA,9.72,21.02,NA,NA,0.42,27.49,9.84,862.47,NA,4,192.19,22.44,NA,177,NA,254.2,NA,2,"6/26/2012","4/20/2012"
"21","Chelan","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",88,0.95,1.15,4.6,3.23,13.33,19.9,975.9,12.77,17.03,5.2,2.15,29.12,NA,5,8,10.24,18.63,4,16.43,0.58,26.91,10.53,783.72,30.5,NA,174.14,26.41,9.17,168,NA,266.1,3.7,NA,"6/18/2010","3/30/2010"
"22","Chelan","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",100,0.87,0.95,3.8,NA,NA,19.6,930,13.26,NA,5.8,NA,NA,293.1,3.6,0,10.46,18.5,NA,NA,0.6,28.1,10.21,615.53,44.9,0,146.86,24.4,9.7,167,NA,277.6,NA,5,"6/17/2011","4/11/2011"
"23","Chelan","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",103,0.87,0.37,5,NA,NA,NA,790.3,11.83,NA,6,NA,NA,252.4,5,NA,8.62,17.68,NA,NA,0.48,26.06,9.9,753.58,NA,0,152.22,23.58,NA,168,NA,252,NA,5,"6/17/2012","4/13/2012"
"24","Chinook","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,-1.9,2,NA,NA,15.9,859.6,11.32,NA,3,NA,NA,215.6,4,NA,8,15.9,NA,NA,0.4,18.73,8.28,713.67,35.49,3,NA,19.62,5.2,175,NA,215.6,NA,3,"6/25/2011",NA
"25","Chinook","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",104,0.37,0.2,5,NA,NA,NA,697.5,11.12,NA,4.8,NA,NA,206.4,4,NA,9.77,22.62,NA,NA,0.42,26.09,9.63,815.14,NA,4,158.97,22.76,NA,173,NA,225.9,NA,3,"6/22/2012","4/14/2012"
"26","Cowiche","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",98,NA,2.3,5,1.48,9.95,22.9,1867.1,12.3,10.43,6,0.48,25.77,NA,3,24,15.11,24.4,12,16.63,0.75,33.42,11.37,1105.08,47.22,NA,191.94,25.9,13.4,190,NA,300,3.71,NA,"7/10/2010","4/9/2010"
"27","Cowiche","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,NA,1.45,4,NA,NA,17.7,1719.2,11.79,NA,4.2,NA,NA,277.6,3,NA,15.4,23.67,4.17,NA,0.76,28.52,10.49,914.56,59.58,3,NA,26.35,14.65,189,NA,325,NA,2.6,"7/9/2011",NA
"28","Cowiche","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,1.2,2.66,4,NA,NA,NA,1418.4,12.42,NA,6,NA,NA,200.9,4,NA,16.35,25.24,NA,NA,0.72,33.27,11.7,1023.28,NA,2,202.94,27.68,NA,188,NA,298,NA,5,"7/7/2012","4/21/2012"
"29","Emperor Francis","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",108,0.91,-1.08,1,NA,NA,18.9,868.8,11.44,NA,NA,NA,NA,318.5,3.2,0,6.61,18.55,NA,NA,0.54,21.75,9.18,NA,43.7,3,163.61,20.73,6.03,NA,2.8,260,NA,NA,NA,"4/19/2011"
