"var","bt_quintile","gdd_quintile"
"ambrunes","3","3"
"benton","3","2"
"bing","2","1"
"black_republican","3","1"
"cashmere","5","4"
"chelan","1","1"
"chinook","1","1"
"cowiche","2","5"
"emperor_francis","4","2"
"gil_peck","3","2"
"glacier","2","4"
"index","1","1"
"kiona","4","5"
"kordia","5","4"
"krupnoplidna","4","3"
"lambert","5","4"
"lapins","1","5"
"moreau","4","3"
"rainier","1","2"
"regina","2","5"
"schmidt","5","2"
"schneiders_spate_knorpelkirsche","5","5"
"selah","4","3"
"stella","4","3"
"summit","2","5"
"sunburst","5","5"
"sweetheart","1","2"
"tieton","1","1"
"van","2","1"
"venus","3","2"
"vic","5","3"
"windsor","3","2"
