"Country","Institute","Site","Latitude","Longitude","Altitude","Plantation","Year","Cultivar","  Clone  ","Rootstock","Beginning of flowering (date)","Full Flowering (date)","End of flowering (date)","Beginning of Maturity (date)","Beginning of flowering","Full Flowering","End of flowering","Beginning of Maturity","Flowering duration"
"France","Cefel","Montauban","44.04","1.31",90,1998,2008,"Burlat","V370",,,15/3,,,,73,,,
"France","Cefel","Montauban","44.04","1.31",90,1998,2008,"Regina","V2868",,,3/4,,,,92,,,
"France","Cefel","Montauban","44.04","1.31",90,1998,2008,"Satin Sumele","V2939",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,1998,2008,"Summit","V2017",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Bellise Bedel","V3821",,,25/3,,,,83,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Ferlizac","V3112",,,20/3,,,,78,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Ferlizac","V3112",,,26/3,,,,84,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Fermina","V3122",,,1/4,,,,90,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Fermina","V3122",,,1/4,,,,90,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Fertille","V3476",,,25/3,,,,83,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Fertille","V3476",,,26/3,,,,84,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Folfer","V3387",,,15/3,,,,73,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Folfer","V3387",,,23/3,,,,81,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Rainier","V1931",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Rainier","V1931",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Regina","V2868",,,5/4,,,,94,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Starblush","V3269",,,2/4,,,,91,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Starblush","V3269",,,5/4,,,,94,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"Summit","V2017",,,5/4,,,,94,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Summit","V2017",,,5/4,,,,94,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2008,"TechloVan","V3009",,,1/4,,,,90,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2009,"Burlat","V370",,,28/3,,,,86,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2008,"Ferobri","V3223",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2009,"Ferobri","V3223",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2008,"Fertard","V3382",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2009,"Fertard","V3382",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2008,"Staccato","V3430",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2009,"Staccato","V3430",,,30/3,,,,88,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2008,"Black Star","V3576",,,14/3,,,,72,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2009,"Black Star","V3576",,,23/3,,,,81,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2011,"Black Star","V3576",,,27/3,,,,85,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2010,"Black Star","V3576",,,30/3,,,,88,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2012,"Black Star","V3576",,,30/3,,,,88,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2009,"Burlat","V370",,,28/3,,,,86,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2008,"Burlat","V370",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2011,"Burlat","V370",,,30/3,,,,88,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2012,"Burlat","V370",,,30/3,,,,88,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2010,"Burlat","V370",,,5/4,,,,94,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2008,"Ferdiva","V3115",,,3/4,,,,92,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2011,"Ferdiva","V3115",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2012,"Ferdiva","V3115",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2009,"Ferdiva","V3115",,,5/4,,,,94,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2010,"Ferdiva","V3115",,,10/4,,,,99,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2008,"Grace Star","V3574",,,24/3,,,,82,,,
