"","var","pollinated_by_rangedala","pollinated_by_splendor","label","label_aka","nr","type","zone","zone_extended","pollinated_by_sveriges_tradgardsmastare","pollinated_by_table","pollinated_by_plantagen","temp","pollinated_by_plantagen_num","pollinated_by_splendor_num","pollinated_by_rangedala_num","pollinated_by_concat","pollinated_by_concordance_num","pollinated_by_plantagen_chr"
"1","allm_gulrod","buttners_rote, hedelfinger, merton_glory, stor_svart, sam, van, stora_klarbar","hedelfinger, merton_glory, stora_klarbar","Allmän gulröd bigarrå","",1,"sweet",3,NA,"3,6,7,8,12,18","Allmän gulröd bigarrå","hedelfinger, merton_glory, stor_svart","hedelfinger, merton_glory, stor_svart","11,17,24","11,17,25","5,11,17,24,21,29,25","5,11,17,24,21,29,25;11,17,24;11,17,25;3,6,7,8,12,18","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","hedelfinger,merton_glory,stor_svart"
"2","almore","merton_glory, merton_premier, stor_svart","merton_glory, stor_svart","Almore","",2,"sweet",3,NA,"12,13,17","Almore","Büttners Späte Rote, Hedelfinger, Merton Glory, Sam, Stor svart bigarrå, Van","buttners_rote, hedelfinger, merton_glory, sam, stor_svart, van","5,11,17,21,24,29","17,24","17,18,24","17,18,24;5,11,17,21,24,29;17,24;12,13,17","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","buttners_rote,hedelfinger,merton_glory,sam,stor_svart,van"
"3","annonay",NA,NA,"Annonay","",3,"sweet",3,NA,"1,8,15","Annonay","","",NA,NA,NA,"NA;NA;NA;1,8,15","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"4","berit",NA,NA,"Berit","",4,"sour",4,5,"4","Berit","","",NA,NA,NA,"NA;NA;NA;4","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"5","buttners_rote","allm_gulrod, hedelfinger, merton_glory, merton_premier, stella, van","allm_gulrod, hedelfinger, merton_glory, stella, van","Büttners Rote","Heinrich Riesen",5,"sweet",3,NA,"1,7,8,10,12,13,20","Büttners Rote","Allm. gulröd bigarrå, Almore, Hedelfinger, Merton Glory, Stella, Van","allm_gulrod, almore, hedelfinger, merton_glory, stella, van","1,2,11,17,23,29","1,11,17,23,29","1,11,17,18,23,29","1,11,17,18,23,29;1,2,11,17,23,29;1,11,17,23,29;1,7,8,10,12,13,20","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","allm_gulrod,almore,hedelfinger,merton_glory,stella,van"
"6","erianne",NA,NA,"Erianne","",6,"sweet",4,NA,"1,3,7,12,13,17,18,19","Erianne","","",NA,NA,NA,"NA;NA;NA;1,3,7,12,13,17,18,19","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"7","fanal",NA,NA,"Fanal","Heimans konserv",7,"sour",4,NA,"7","Frogmore","","",NA,NA,NA,"NA;NA;NA;7","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"8","frogmore",NA,NA,"Frogmore","",8,"sweet",3,NA,"1,6,13,14,17,18,19","Hedelfinger","","",NA,NA,NA,"NA;NA;NA;1,6,13,14,17,18,19","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"9","fryksas","sjalvfertil","sjalvfertil","Fryksås","",9,"sweet",4,NA,"0","Heidi","Självfertil","sjalvfertil","9","9","9","9;9;9;0","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","fryksas"
"10","gardebo","allm_gulrod, skuggmorell","allm_gulrod, sjalvfertil, skuggmorell","Gårdebo","",10,"sweet",4,NA,"0","Knauffs Kirsche","Självfertil samt Allm. gulröd bigarrå, Almore","sjalvfertil, allm_gulrod, almore","10,1,2","1,10,22","1,22","1,22;10,1,2;1,10,22;0","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","gardebo,allm_gulrod,almore"
